Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Detection probability,Nucleus: Area µm^2,Nucleus: Length µm,Nucleus: Circularity,Nucleus: Solidity,Nucleus: Max diameter µm,Nucleus: Min diameter µm,Cell: Area µm^2,Cell: Length µm,Cell: Circularity,Cell: Solidity,Cell: Max diameter µm,Cell: Min diameter µm,Nucleus/Cell area ratio,Hematoxylin: Nucleus: Mean,Hematoxylin: Nucleus: Median,Hematoxylin: Nucleus: Min,Hematoxylin: Nucleus: Max,Hematoxylin: Nucleus: Std.Dev.,Hematoxylin: Cytoplasm: Mean,Hematoxylin: Cytoplasm: Median,Hematoxylin: Cytoplasm: Min,Hematoxylin: Cytoplasm: Max,Hematoxylin: Cytoplasm: Std.Dev.,Hematoxylin: Membrane: Mean,Hematoxylin: Membrane: Median,Hematoxylin: Membrane: Min,Hematoxylin: Membrane: Max,Hematoxylin: Membrane: Std.Dev.,Hematoxylin: Cell: Mean,Hematoxylin: Cell: Median,Hematoxylin: Cell: Min,Hematoxylin: Cell: Max,Hematoxylin: Cell: Std.Dev.,Eosin: Nucleus: Mean,Eosin: Nucleus: Median,Eosin: Nucleus: Min,Eosin: Nucleus: Max,Eosin: Nucleus: Std.Dev.,Eosin: Cytoplasm: Mean,Eosin: Cytoplasm: Median,Eosin: Cytoplasm: Min,Eosin: Cytoplasm: Max,Eosin: Cytoplasm: Std.Dev.,Eosin: Membrane: Mean,Eosin: Membrane: Median,Eosin: Membrane: Min,Eosin: Membrane: Max,Eosin: Membrane: Std.Dev.,Eosin: Cell: Mean,Eosin: Cell: Median,Eosin: Cell: Min,Eosin: Cell: Max,Eosin: Cell: Std.Dev.
Simon_Kalteis_V19-18;#282;Ebene B - 2021-01-29 17.47.48.ndpi,PathCellObject,,PathAnnotationObject,Polygon,8912.1,1217.2,0.8814,46.761,25.1244,0.9309,1,9.2814,6.4013,249.6076,56.4456,0.9845,1,19.2631,16.3876,0.1873,0.1944,0.1741,-0.0223,0.5946,0.1139,0.0852,0.0793,-0.0297,0.3706,0.0618,0.0717,0.0583,-0.0056,0.2538,0.061,0.1057,0.092,-0.0297,0.5946,0.0857,0.176,0.1701,0.0376,0.3445,0.0475,0.1423,0.1456,0,0.2745,0.0516,0.1332,0.1401,0,0.2456,0.0524,0.1486,0.1529,0,0.3445,0.0525
Simon_Kalteis_V19-18;#282;Ebene B - 2021-01-29 17.47.48.ndpi,PathCellObject,,PathAnnotationObject,Polygon,9121.9,1030.5,0.8808,23.6681,17.5474,0.9659,1,6.0815,4.8959,188.4236,48.8636,0.9917,1,16.0766,14.8596,0.1256,0.2786,0.2683,0.088,0.5982,0.0922,0.054,0.0368,-0.0433,0.3297,0.0607,0.0433,0.0302,-0.0269,0.2591,0.0518,0.0822,0.0476,-0.0433,0.5982,0.0992,0.2155,0.2181,0.0399,0.3827,0.0572,0.1435,0.152,-0.0003,0.3423,0.0735,0.1468,0.1579,0,0.2816,0.0689,0.1526,0.1613,-0.0003,0.3827,0.0755
Simon_Kalteis_V19-18;#282;Ebene B - 2021-01-29 17.47.48.ndpi,PathCellObject,,PathAnnotationObject,Polygon,9072.7,1059.3,0.8702,15.5903,14.3853,0.9467,1,4.9785,4.2656,164.6468,45.6956,0.9909,1,14.9757,14.2033,0.0947,0.3184,0.3252,0.0227,0.552,0.1004,0.065,0.037,-0.0401,0.6038,0.083,0.0984,0.0505,-0.0056,0.4496,0.1059,0.0888,0.0451,-0.0401,0.6038,0.1125,0.2561,0.2767,0.0483,0.3549,0.0737,0.1305,0.1277,0,0.3143,0.058,0.1271,0.1299,0.0118,0.3035,0.0498,0.1423,0.1332,0,0.3549,0.07
Simon_Kalteis_V19-18;#282;Ebene B - 2021-01-29 17.47.48.ndpi,PathCellObject,,PathAnnotationObject,Polygon,8994.3,1178.1,0.8619,45.6081,24.5106,0.954,1,8.874,6.5344,245.1601,55.8263,0.9885,1,18.8491,16.5071,0.186,0.218,0.206,0.0584,0.4907,0.0822,0.0538,0.0413,-0.0188,0.296,0.0509,0.0423,0.0343,-0.0151,0.1806,0.0423,0.0845,0.0565,-0.0188,0.4907,0.0864,0.169,0.1653,0.0622,0.2815,0.0351,0.13,0.1326,0.0053,0.2477,0.039,0.1315,0.1347,0.0086,0.2432,0.0462,0.1372,0.1393,0.0053,0.2815,0.0412
Simon_Kalteis_V19-18;#282;Ebene B - 2021-01-29 17.47.48.ndpi,PathCellObject,,PathAnnotationObject,Polygon,9207.4,1000.1,0.8534,26.4036,18.8719,0.9316,1,7.0973,4.812,197.8124,50.1875,0.9869,1,17.092,14.772,0.1335,0.2673,0.2613,-0.0015,0.6502,0.1369,0.1257,0.1006,-0.0862,0.6047,0.1245,0.1293,0.0891,-0.0627,0.5213,0.1221,0.1445,0.1204,-0.0862,0.6502,0.135,0.1748,0.171,-0.0201,0.4162,0.0816,0.1497,0.1539,-0.2062,0.4032,0.0872,0.126,0.129,-0.0388,0.3429,0.0693,0.153,0.1571,-0.2062,0.4162,0.0869
Simon_Kalteis_V19-18;#282;Ebene B - 2021-01-29 17.47.48.ndpi,PathCellObject,,PathAnnotationObject,Polygon,9019.6,1184.4,0.853,46.9373,24.9547,0.9472,1,8.9695,6.749,248.642,56.2581,0.9872,1,18.9524,16.6831,0.1888,0.231,0.2138,0.0312,0.623,0.1101,0.0597,0.0458,-0.0223,0.3242,0.058,0.0614,0.0515,-0.0223,0.21,0.0493,0.092,0.0636,-0.0223,0.623,0.0974,0.1732,0.1625,0.0473,0.3727,0.0527,0.1008,0.1016,0,0.2598,0.0496,0.108,0.1081,0.0164,0.211,0.0369,0.1144,0.1127,0,0.3727,0.0576
Simon_Kalteis_V19-18;#282;Ebene B - 2021-01-29 17.47.48.ndpi,PathCellObject,,PathAnnotationObject,Polygon,9007.3,1182,0.8528,40.8193,25.3235,0.7999,0.9965,10.5003,5.0518,244.4101,56.6257,0.9579,0.9996,20.4847,15.0466,0.167,0.2488,0.2284,0.0849,0.6161,0.0956,0.0537,0.0401,-0.0265,0.3059,0.0534,0.0565,0.0438,-0.0199,0.2622,0.0535,0.0863,0.054,-0.0265,0.6161,0.0959,0.1814,0.1763,0.0631,0.3595,0.0453,0.1052,0.1064,0,0.2575,0.0493,0.1088,0.1144,0.0119,0.2078,0.0452,0.1179,0.1175,0,0.3595,0.0563
Simon_Kalteis_V19-18;#282;Ebene B - 2021-01-29 17.47.48.ndpi,PathCellObject,,PathAnnotationObject,Polygon,9116.6,981.1,0.8502,20.9393,17.1122,0.8986,1,6.6525,4.2942,183.73,48.4302,0.9844,1,16.6365,14.2676,0.114,0.3484,0.3129,-0.0096,0.9409,0.1552,0.0869,0.0416,-0.0834,0.6784,0.1164,0.048,0.0205,-0.0209,0.4456,0.0808,0.1165,0.0602,-0.0834,0.9409,0.147,0.1667,0.2048,-0.3141,0.4588,0.1493,0.1716,0.1822,-0.0832,0.463,0.0847,0.1452,0.1365,0.0086,0.3052,0.0574,0.1711,0.1839,-0.3141,0.463,0.0942
Simon_Kalteis_V19-18;#282;Ebene B - 2021-01-29 17.47.48.ndpi,PathCellObject,,PathAnnotationObject,Polygon,9107.4,1025.2,0.8495,9.3831,11.0801,0.9604,1,3.836,3.2503,142.1712,42.4057,0.9935,1,13.8322,13.1846,0.066,0.3334,0.3301,0.1077,0.5367,0.1123,0.0895,0.0715,-0.0326,0.4069,0.0801,0.0856,0.0658,-0.0183,0.4023,0.0789,0.1056,0.0782,-0.0326,0.5367,0.1024,0.1963,0.1839,0.0675,0.3626,0.0765,0.1489,0.1477,0.0011,0.3551,0.0624,0.1565,0.1517,0.0175,0.3397,0.0691,0.152,0.1488,0.0011,0.3626,0.0645
Simon_Kalteis_V19-18;#282;Ebene B - 2021-01-29 17.47.48.ndpi,PathCellObject,,PathAnnotationObject,Polygon,8926.1,1212.3,0.8459,42.6021,23.6821,0.9546,1,8.4474,6.4626,238.0733,55.0022,0.9889,1,18.4445,16.4484,0.1789,0.2221,0.1974,0.0443,0.5926,0.1084,0.0921,0.0877,-0.0113,0.4078,0.0628,0.1027,0.0932,-0.0057,0.3446,0.0811,0.1154,0.1015,-0.0113,0.5926,0.0884,0.1696,0.1646,0.0851,0.3363,0.0404,0.1484,0.1539,0.0233,0.2617,0.0428,0.1502,0.1576,0.0244,0.2557,0.0502,0.1522,0.1556,0.0233,0.3363,0.0432
