Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Detection probability,Nucleus: Area µm^2,Nucleus: Length µm,Nucleus: Circularity,Nucleus: Solidity,Nucleus: Max diameter µm,Nucleus: Min diameter µm,Cell: Area µm^2,Cell: Length µm,Cell: Circularity,Cell: Solidity,Cell: Max diameter µm,Cell: Min diameter µm,Nucleus/Cell area ratio,Hematoxylin: Nucleus: Mean,Hematoxylin: Nucleus: Median,Hematoxylin: Nucleus: Min,Hematoxylin: Nucleus: Max,Hematoxylin: Nucleus: Std.Dev.,Hematoxylin: Cytoplasm: Mean,Hematoxylin: Cytoplasm: Median,Hematoxylin: Cytoplasm: Min,Hematoxylin: Cytoplasm: Max,Hematoxylin: Cytoplasm: Std.Dev.,Hematoxylin: Membrane: Mean,Hematoxylin: Membrane: Median,Hematoxylin: Membrane: Min,Hematoxylin: Membrane: Max,Hematoxylin: Membrane: Std.Dev.,Hematoxylin: Cell: Mean,Hematoxylin: Cell: Median,Hematoxylin: Cell: Min,Hematoxylin: Cell: Max,Hematoxylin: Cell: Std.Dev.,Eosin: Nucleus: Mean,Eosin: Nucleus: Median,Eosin: Nucleus: Min,Eosin: Nucleus: Max,Eosin: Nucleus: Std.Dev.,Eosin: Cytoplasm: Mean,Eosin: Cytoplasm: Median,Eosin: Cytoplasm: Min,Eosin: Cytoplasm: Max,Eosin: Cytoplasm: Std.Dev.,Eosin: Membrane: Mean,Eosin: Membrane: Median,Eosin: Membrane: Min,Eosin: Membrane: Max,Eosin: Membrane: Std.Dev.,Eosin: Cell: Mean,Eosin: Cell: Median,Eosin: Cell: Min,Eosin: Cell: Max,Eosin: Cell: Std.Dev.
Simon_Kalteis_V19-18;#283;Ebene C - 2021-01-29 18.06.43.ndpi,PathCellObject,,PathAnnotationObject,Polygon,21601.2,4387.5,0.8892,20.3673,16.4876,0.9415,1,6.0751,4.3592,179.7825,47.7872,0.9893,1,16.0733,14.3301,0.1133,0.5735,0.5984,0.0007,0.9212,0.1873,0.1064,0.0538,-0.0413,0.671,0.1305,0.1542,0.1311,-0.0107,0.5419,0.1535,0.1598,0.0749,-0.0413,0.9212,0.2029,0.3056,0.326,0.0325,0.5309,0.088,0.1397,0.1481,-0.0299,0.4205,0.0853,0.1344,0.1494,-0.0008,0.3555,0.0876,0.1587,0.1602,-0.0299,0.5309,0.1006
Simon_Kalteis_V19-18;#283;Ebene C - 2021-01-29 18.06.43.ndpi,PathCellObject,,PathAnnotationObject,Polygon,21080.6,4372.4,0.8676,31.8277,20.3346,0.9673,1,7.2232,5.7809,210.5022,51.6524,0.9915,1,17.2146,15.7051,0.1512,0.2709,0.2681,0.0471,0.5436,0.1095,0.0845,0.0315,-0.0611,0.5888,0.1141,0.0887,0.0552,-0.0232,0.4201,0.0941,0.1127,0.0581,-0.0611,0.5888,0.1316,0.1608,0.1644,-0.0809,0.3176,0.0724,0.0936,0.0772,-0.0683,0.3819,0.0795,0.102,0.0872,0,0.3402,0.0738,0.1038,0.0938,-0.0809,0.3819,0.0821
Simon_Kalteis_V19-18;#283;Ebene C - 2021-01-29 18.06.43.ndpi,PathCellObject,,PathAnnotationObject,Polygon,21555.8,4315.2,0.8639,41.927,25.0803,0.8376,0.9967,10.2324,5.3593,244.3371,56.375,0.9661,0.9996,20.1942,15.3025,0.1716,0.2187,0.22,0.0206,0.476,0.0893,0.0917,0.0651,-0.0176,0.5704,0.0937,0.0999,0.0742,0.002,0.4745,0.0833,0.1135,0.0829,-0.0176,0.5704,0.1045,0.1375,0.1389,0.038,0.2513,0.0319,0.1139,0.1162,-0.0148,0.2567,0.0411,0.1279,0.1246,0.0076,0.25,0.0337,0.118,0.1198,-0.0148,0.2567,0.0407
Simon_Kalteis_V19-18;#283;Ebene C - 2021-01-29 18.06.43.ndpi,PathCellObject,,PathAnnotationObject,Polygon,21593.7,4359.8,0.8606,24.2777,17.7336,0.9701,1,5.9654,5.2035,189.962,49.0356,0.9928,1,15.9549,15.1646,0.1278,0.4372,0.4262,-0.0338,0.9227,0.1642,0.1449,0.0745,-0.0543,1.0598,0.1788,0.1014,0.0594,-0.0156,0.743,0.1244,0.1824,0.1144,-0.0543,1.0598,0.2021,0.2114,0.2193,-0.0274,0.3788,0.0785,0.095,0.0882,-0.0843,0.4265,0.0871,0.0875,0.0898,-0.0109,0.3631,0.0733,0.1099,0.1076,-0.0843,0.4265,0.0944
Simon_Kalteis_V19-18;#283;Ebene C - 2021-01-29 18.06.43.ndpi,PathCellObject,,PathAnnotationObject,Polygon,21319.4,4284.9,0.8593,52.7047,29.3082,0.771,0.9947,12.1911,5.319,276.3967,60.62,0.9452,0.9991,22.1688,15.2834,0.1907,0.11,0.0841,-0.0176,0.4493,0.0927,0.0777,0.0527,-0.0373,0.4618,0.0814,0.0711,0.0524,-0.0293,0.3978,0.0725,0.0839,0.0575,-0.0373,0.4618,0.0846,0.0984,0.0859,-0.0002,0.2451,0.0509,0.1489,0.1378,0,0.3477,0.0601,0.1529,0.1486,0,0.3231,0.0651,0.1393,0.1309,-0.0002,0.3477,0.0617
Simon_Kalteis_V19-18;#283;Ebene C - 2021-01-29 18.06.43.ndpi,PathCellObject,,PathAnnotationObject,Polygon,21666.3,4423.8,0.8583,11.0861,12.0373,0.9615,1,4.1762,3.5469,148.6278,43.3557,0.9936,1,14.172,13.5232,0.0746,0.4482,0.4635,0.0721,0.8372,0.1987,0.0468,0.0133,-0.0352,0.7826,0.0822,0.09,0.031,-0.0149,0.7826,0.1473,0.0769,0.0156,-0.0352,0.8372,0.1427,0.2148,0.2112,0.0686,0.3465,0.0635,0.0914,0.0978,-0.0152,0.3851,0.0697,0.1054,0.1012,0,0.3536,0.0765,0.1007,0.1058,-0.0152,0.3851,0.0765
Simon_Kalteis_V19-18;#283;Ebene C - 2021-01-29 18.06.43.ndpi,PathCellObject,,PathAnnotationObject,Polygon,21251.3,4285.7,0.8535,63.078,32.3451,0.7577,0.991,13.4642,5.748,301.7416,63.6452,0.9361,0.9982,23.4535,15.7173,0.209,0.1037,0.0939,-0.0126,0.4301,0.0732,0.0503,0.0347,-0.0695,0.3587,0.0579,0.0404,0.0261,-0.0676,0.2373,0.0514,0.0614,0.0432,-0.0695,0.4301,0.0651,0.1018,0.0952,0.0177,0.2382,0.0422,0.1598,0.15,0,0.4093,0.0604,0.1437,0.1359,0,0.3652,0.0739,0.1477,0.1426,0,0.4093,0.0617
Simon_Kalteis_V19-18;#283;Ebene C - 2021-01-29 18.06.43.ndpi,PathCellObject,,PathAnnotationObject,Polygon,21171.5,4346.5,0.8522,45.2518,26.7238,0.7962,0.9968,11.0912,5.067,255.911,58.0249,0.9551,0.9996,21.0767,15.0377,0.1768,0.3579,0.35,0.0473,0.8137,0.1418,0.0656,0.005,-0.0789,0.704,0.1253,0.102,0.0349,-0.0493,0.704,0.1395,0.1173,0.0174,-0.0789,0.8137,0.1701,0.1613,0.1757,-0.3048,0.4726,0.1205,0.0412,0.011,-0.2266,0.3509,0.0693,0.0814,0.0443,-0.0255,0.3269,0.0894,0.0624,0.0195,-0.3048,0.4726,0.0929
Simon_Kalteis_V19-18;#283;Ebene C - 2021-01-29 18.06.43.ndpi,PathCellObject,,PathAnnotationObject,Polygon,21211.3,4352.7,0.8517,7.0283,9.7219,0.9345,1,3.5615,2.6449,132.74,41.0163,0.9915,1,13.5586,12.5606,0.053,0.6501,0.6865,0.0704,1.0937,0.2537,0.1088,0.0656,-0.0791,0.5491,0.1259,0.1163,0.0666,-0.0219,0.4984,0.1316,0.1374,0.0737,-0.0791,1.0937,0.1818,0.1255,0.106,-0.1229,0.413,0.1162,0.0988,0.0926,-0.0789,0.334,0.072,0.1021,0.0909,-0.0031,0.306,0.0804,0.1002,0.0931,-0.1229,0.413,0.0752
Simon_Kalteis_V19-18;#283;Ebene C - 2021-01-29 18.06.43.ndpi,PathCellObject,,PathAnnotationObject,Polygon,21448.2,4321.1,0.8509,28.6224,19.2429,0.9714,1,6.5604,5.5157,201.8698,50.5557,0.9925,1,16.5612,15.4899,0.1418,0.4177,0.4117,0,1.1688,0.1461,0.0939,0.0211,-0.022,0.7279,0.1316,0.1237,0.0759,-0.0101,0.5961,0.1368,0.1398,0.0571,-0.022,1.1688,0.1751,0.1879,0.2177,-0.1218,0.4708,0.1079,0.079,0.0355,-0.1245,0.4535,0.0958,0.1104,0.0816,-0.0053,0.3705,0.0993,0.0945,0.053,-0.1245,0.4708,0.1047
