Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Detection probability,Nucleus: Area µm^2,Nucleus: Length µm,Nucleus: Circularity,Nucleus: Solidity,Nucleus: Max diameter µm,Nucleus: Min diameter µm,Cell: Area µm^2,Cell: Length µm,Cell: Circularity,Cell: Solidity,Cell: Max diameter µm,Cell: Min diameter µm,Nucleus/Cell area ratio,Hematoxylin: Nucleus: Mean,Hematoxylin: Nucleus: Median,Hematoxylin: Nucleus: Min,Hematoxylin: Nucleus: Max,Hematoxylin: Nucleus: Std.Dev.,Hematoxylin: Cytoplasm: Mean,Hematoxylin: Cytoplasm: Median,Hematoxylin: Cytoplasm: Min,Hematoxylin: Cytoplasm: Max,Hematoxylin: Cytoplasm: Std.Dev.,Hematoxylin: Membrane: Mean,Hematoxylin: Membrane: Median,Hematoxylin: Membrane: Min,Hematoxylin: Membrane: Max,Hematoxylin: Membrane: Std.Dev.,Hematoxylin: Cell: Mean,Hematoxylin: Cell: Median,Hematoxylin: Cell: Min,Hematoxylin: Cell: Max,Hematoxylin: Cell: Std.Dev.,Eosin: Nucleus: Mean,Eosin: Nucleus: Median,Eosin: Nucleus: Min,Eosin: Nucleus: Max,Eosin: Nucleus: Std.Dev.,Eosin: Cytoplasm: Mean,Eosin: Cytoplasm: Median,Eosin: Cytoplasm: Min,Eosin: Cytoplasm: Max,Eosin: Cytoplasm: Std.Dev.,Eosin: Membrane: Mean,Eosin: Membrane: Median,Eosin: Membrane: Min,Eosin: Membrane: Max,Eosin: Membrane: Std.Dev.,Eosin: Cell: Mean,Eosin: Cell: Median,Eosin: Cell: Min,Eosin: Cell: Max,Eosin: Cell: Std.Dev.
Simon_Kalteis_V19-18;#294;Ebene E - 2021-01-29 18.46.31.ndpi,PathCellObject,,PathAnnotationObject,Polygon,21481.5,4325.9,0.8259,27.4271,19.0289,0.9518,1,6.8809,5.1976,199.6555,50.3439,0.9899,1,16.8811,15.1453,0.1374,0.1905,0.1749,0.0037,0.6907,0.1163,0.0861,0.0735,-0.0301,0.3939,0.0743,0.1011,0.0895,-0.0301,0.3694,0.0734,0.1006,0.0835,-0.0301,0.6907,0.089,0.0692,0.0618,-0.0112,0.2224,0.0404,0.0599,0.0572,-0.0436,0.2454,0.0442,0.0697,0.0695,-0.0197,0.1657,0.0361,0.0612,0.0579,-0.0436,0.2454,0.0438
Simon_Kalteis_V19-18;#294;Ebene E - 2021-01-29 18.46.31.ndpi,PathCellObject,,PathAnnotationObject,Polygon,21443.5,4327.3,0.7416,21.8016,16.897,0.9596,1,5.7539,4.6014,183.323,48.2015,0.9915,1,15.7529,14.5504,0.1189,0.252,0.2327,0,0.7364,0.1351,0.0762,0.0627,-0.0329,0.4354,0.0669,0.0885,0.0953,-0.0174,0.2575,0.0626,0.0972,0.0755,-0.0329,0.7364,0.0968,0.0967,0.0936,-0.0377,0.2831,0.0543,0.0612,0.0576,-0.0936,0.3026,0.0479,0.0656,0.069,-0.0194,0.1856,0.0488,0.0654,0.0614,-0.0936,0.3026,0.05
Simon_Kalteis_V19-18;#294;Ebene E - 2021-01-29 18.46.31.ndpi,PathCellObject,,PathAnnotationObject,Polygon,21494.4,4317.6,0.7415,51.4757,28.819,0.7789,0.9886,12.0256,5.3688,272.5555,60.1083,0.948,0.9992,22.0169,15.3162,0.1889,0.1523,0.1405,-0.013,0.5567,0.0845,0.0853,0.0723,-0.0329,0.4178,0.0709,0.0835,0.0754,-0.024,0.279,0.065,0.0981,0.0865,-0.0329,0.5567,0.0782,0.0798,0.0791,-0.0144,0.234,0.0312,0.0627,0.0597,-0.0506,0.2699,0.0458,0.0595,0.0593,-0.0169,0.2699,0.0441,0.0659,0.0648,-0.0506,0.2699,0.0439
Simon_Kalteis_V19-18;#294;Ebene E - 2021-01-29 18.46.31.ndpi,PathCellObject,,PathAnnotationObject,Polygon,21425.3,4337.6,0.7355,32.6687,23.9792,0.714,0.9859,10.2167,3.9646,229.5632,55.2813,0.944,0.9982,20.2046,13.9372,0.1423,0.2254,0.221,0.0196,0.5507,0.0863,0.0703,0.0568,-0.0331,0.3472,0.0684,0.0483,0.0103,-0.0213,0.2538,0.0663,0.0925,0.0742,-0.0331,0.5507,0.0896,0.0925,0.093,-0.0713,0.2143,0.0408,0.0503,0.0453,-0.072,0.2253,0.0473,0.0268,0.0033,-0.0372,0.1765,0.043,0.0563,0.0534,-0.072,0.2253,0.0488
Simon_Kalteis_V19-18;#294;Ebene E - 2021-01-29 18.46.31.ndpi,PathCellObject,,PathAnnotationObject,Polygon,21507.5,4328.8,0.73,71.4726,30.9454,0.9379,0.998,11.3932,7.8619,302.9179,62.2186,0.9833,0.9997,21.3786,17.7798,0.236,0.181,0.1737,-0.0011,0.6069,0.0908,0.0833,0.0706,-0.0395,0.4971,0.0755,0.0785,0.0689,-0.0183,0.3805,0.0666,0.1063,0.093,-0.0395,0.6069,0.0895,0.0809,0.081,-0.0316,0.2176,0.037,0.0515,0.0459,-0.0739,0.2601,0.0441,0.0469,0.0423,-0.0164,0.1805,0.036,0.0584,0.0551,-0.0739,0.2601,0.0443
Simon_Kalteis_V19-18;#294;Ebene E - 2021-01-29 18.46.31.ndpi,PathCellObject,,PathAnnotationObject,Polygon,21478.1,4318.1,0.7219,40.8664,23.9136,0.898,1,9.1624,5.6392,237.3819,55.2227,0.9782,1,19.1591,15.5579,0.1721,0.2109,0.1961,-0.0243,0.6274,0.1414,0.0892,0.0726,-0.0574,0.4196,0.0816,0.0843,0.0752,-0.0164,0.3554,0.0684,0.1104,0.0879,-0.0574,0.6274,0.1053,0.0838,0.0808,-0.0811,0.3219,0.0657,0.0615,0.0559,-0.0715,0.2621,0.0518,0.0552,0.0546,-0.0393,0.1713,0.0379,0.0654,0.0592,-0.0811,0.3219,0.0551
Simon_Kalteis_V19-18;#294;Ebene E - 2021-01-29 18.46.31.ndpi,PathCellObject,,PathAnnotationObject,Polygon,21444.1,4316.4,0.7088,4.8102,7.9646,0.9529,1,2.6997,2.3048,121.8679,39.2662,0.9933,1,12.6807,12.2561,0.0395,0.4385,0.456,0.2234,0.6092,0.0929,0.1004,0.0835,-0.0218,0.6476,0.0906,0.1002,0.087,-0.0095,0.4772,0.074,0.1138,0.0874,-0.0218,0.6476,0.1121,0.1384,0.1453,0.0344,0.2563,0.059,0.0661,0.0589,-0.0852,0.2899,0.059,0.0718,0.0649,-0.0183,0.2674,0.0464,0.0689,0.0613,-0.0852,0.2899,0.0606
Simon_Kalteis_V19-18;#294;Ebene E - 2021-01-29 18.46.31.ndpi,PathCellObject,,PathAnnotationObject,Polygon,21461.5,4326.1,0.5885,59.9075,30.1297,0.8293,0.9954,12.1984,6.134,287.8937,61.4535,0.958,0.9996,22.1684,16.1172,0.2081,0.1505,0.1447,-0.031,0.6083,0.1003,0.0816,0.073,-0.0291,0.3621,0.0667,0.0899,0.0867,-0.0222,0.3621,0.0676,0.096,0.0856,-0.031,0.6083,0.08,0.0848,0.0795,-0.0462,0.2786,0.0553,0.0609,0.0579,-0.0489,0.2261,0.0462,0.0635,0.0639,-0.0283,0.1996,0.0398,0.0659,0.0624,-0.0489,0.2786,0.0492
Simon_Kalteis_V19-18;#294;Ebene E - 2021-01-29 18.46.31.ndpi,PathCellObject,,PathAnnotationObject,Polygon,21518.8,4295.1,0.5768,51.4182,28.0479,0.8213,0.9972,11.4442,5.5136,268.6247,59.3547,0.9582,0.9996,21.4261,15.5086,0.1914,0.096,0.0794,-0.0197,0.367,0.0817,0.0617,0.0351,-0.0264,0.4223,0.0742,0.0748,0.0479,-0.008,0.3871,0.0889,0.0683,0.0422,-0.0264,0.4223,0.0769,0.1036,0.0911,-0.0088,0.334,0.0806,0.085,0.0695,-0.0161,0.3565,0.0808,0.0858,0.0598,-0.0077,0.3025,0.0846,0.0885,0.0769,-0.0161,0.3565,0.0811
Simon_Kalteis_V19-18;#294;Ebene E - 2021-01-29 18.46.31.ndpi,PathCellObject,,PathAnnotationObject,Polygon,21429.9,4305.5,0.5598,4.3942,9.6953,0.5874,1,4.3506,1.4051,130.0839,40.9886,0.973,1,14.3428,11.3696,0.0338,0.3037,0.298,0.0905,0.5256,0.1042,0.0948,0.0788,-0.0477,0.4595,0.0833,0.0898,0.0731,-0.0459,0.3116,0.0753,0.1017,0.083,-0.0477,0.5256,0.092,0.1105,0.1306,-0.0505,0.2212,0.0752,0.105,0.1035,-0.0595,0.3775,0.0699,0.1047,0.0902,0,0.3775,0.0713,0.1052,0.1042,-0.0595,0.3775,0.0701
