Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Detection probability,Nucleus: Area µm^2,Nucleus: Length µm,Nucleus: Circularity,Nucleus: Solidity,Nucleus: Max diameter µm,Nucleus: Min diameter µm,Cell: Area µm^2,Cell: Length µm,Cell: Circularity,Cell: Solidity,Cell: Max diameter µm,Cell: Min diameter µm,Nucleus/Cell area ratio,Hematoxylin: Nucleus: Mean,Hematoxylin: Nucleus: Median,Hematoxylin: Nucleus: Min,Hematoxylin: Nucleus: Max,Hematoxylin: Nucleus: Std.Dev.,Hematoxylin: Cytoplasm: Mean,Hematoxylin: Cytoplasm: Median,Hematoxylin: Cytoplasm: Min,Hematoxylin: Cytoplasm: Max,Hematoxylin: Cytoplasm: Std.Dev.,Hematoxylin: Membrane: Mean,Hematoxylin: Membrane: Median,Hematoxylin: Membrane: Min,Hematoxylin: Membrane: Max,Hematoxylin: Membrane: Std.Dev.,Hematoxylin: Cell: Mean,Hematoxylin: Cell: Median,Hematoxylin: Cell: Min,Hematoxylin: Cell: Max,Hematoxylin: Cell: Std.Dev.,Eosin: Nucleus: Mean,Eosin: Nucleus: Median,Eosin: Nucleus: Min,Eosin: Nucleus: Max,Eosin: Nucleus: Std.Dev.,Eosin: Cytoplasm: Mean,Eosin: Cytoplasm: Median,Eosin: Cytoplasm: Min,Eosin: Cytoplasm: Max,Eosin: Cytoplasm: Std.Dev.,Eosin: Membrane: Mean,Eosin: Membrane: Median,Eosin: Membrane: Min,Eosin: Membrane: Max,Eosin: Membrane: Std.Dev.,Eosin: Cell: Mean,Eosin: Cell: Median,Eosin: Cell: Min,Eosin: Cell: Max,Eosin: Cell: Std.Dev.
Simon_Kalteis_V19-18;#299;Ebene D - 2021-01-29 14.53.35.ndpi,PathCellObject,,PathAnnotationObject,Polygon,26210.5,2036.9,0.9035,12.1598,12.618,0.9597,1,4.4187,3.5615,152.3946,43.9242,0.9926,1,14.411,13.4972,0.0798,0.4006,0.4075,0.0002,0.7351,0.1825,0.0449,0,-0.0724,0.4078,0.0828,0.0693,0.0007,-0.0534,0.4078,0.109,0.0729,0.0002,-0.0724,0.7351,0.1347,0.3216,0.3372,0.0013,0.5843,0.1264,0.0826,0.0053,-0.0184,0.4362,0.1059,0.0967,0.0046,-0.0184,0.4024,0.1257,0.1014,0.0148,-0.0184,0.5843,0.1255
Simon_Kalteis_V19-18;#299;Ebene D - 2021-01-29 14.53.35.ndpi,PathCellObject,,PathAnnotationObject,Polygon,25148.5,1520.8,0.9019,15.2105,14.0901,0.9628,1,4.8336,4.1631,162.8196,45.4061,0.9924,1,14.8256,14.1239,0.0934,0.5153,0.5356,0.1527,0.7662,0.118,0.0699,0.0126,-0.0295,0.6276,0.109,0.0382,0,-0.0242,0.4525,0.0862,0.1113,0.0276,-0.0295,0.7662,0.1697,0.4766,0.5031,0.2475,0.6188,0.0922,0.1394,0.1473,-0.0133,0.5255,0.1263,0.0886,0.0096,-0.0066,0.405,0.1113,0.1707,0.1735,-0.0133,0.6188,0.1576
Simon_Kalteis_V19-18;#299;Ebene D - 2021-01-29 14.53.35.ndpi,PathCellObject,,PathAnnotationObject,Polygon,28471.5,2040.7,0.9014,12.5477,12.7524,0.9696,1,4.313,3.7445,153.6345,44.0765,0.9938,1,14.3111,13.6998,0.0817,0.3253,0.3409,0.155,0.4709,0.0796,0.1215,0.1226,-0.0112,0.414,0.0913,0.0905,0.0605,-0.0034,0.3679,0.0997,0.1381,0.1333,-0.0112,0.4709,0.1062,0.3211,0.3225,0.1626,0.4222,0.0499,0.1447,0.1696,-0.0102,0.4152,0.0925,0.1043,0.083,-0.007,0.3008,0.1004,0.159,0.179,-0.0102,0.4222,0.1019
Simon_Kalteis_V19-18;#299;Ebene D - 2021-01-29 14.53.35.ndpi,PathCellObject,,PathAnnotationObject,Polygon,25101.1,1726.2,0.8965,17.6573,15.0859,0.975,1,5.0332,4.5848,170.3353,46.4006,0.9942,1,15.0312,14.5314,0.1037,0.4163,0.3981,0.1427,0.7383,0.1233,0.0939,0.0563,-0.0266,0.5533,0.1079,0.0881,0.0653,-0.0175,0.3636,0.0973,0.1278,0.0759,-0.0266,0.7383,0.1476,0.3459,0.3545,0.1343,0.549,0.0967,0.1291,0.1294,-0.0154,0.4449,0.0954,0.1307,0.1462,0,0.2727,0.0722,0.1518,0.146,-0.0154,0.549,0.1164
Simon_Kalteis_V19-18;#299;Ebene D - 2021-01-29 14.53.35.ndpi,PathCellObject,,PathAnnotationObject,Polygon,30722.6,1445.8,0.8943,11.0522,12.0528,0.956,1,4.155,3.3937,148.5849,43.3696,0.9927,1,14.1408,13.3319,0.0744,0.4967,0.5151,0.0366,0.8107,0.2064,0.0684,0.0107,-0.0204,0.5349,0.1047,0.0321,0.0047,-0.0101,0.2396,0.0561,0.1001,0.0196,-0.0204,0.8107,0.1608,0.3911,0.3776,0.1739,0.6162,0.1161,0.1106,0.1027,-0.0063,0.383,0.0956,0.0868,0.0611,-0.0016,0.3314,0.0918,0.1313,0.1146,-0.0063,0.6162,0.1218
Simon_Kalteis_V19-18;#299;Ebene D - 2021-01-29 14.53.35.ndpi,PathCellObject,,PathAnnotationObject,Polygon,31009.5,1258.4,0.894,19.1317,15.7901,0.9643,1,5.5558,4.5082,175.2355,47.1009,0.9926,1,15.5312,14.457,0.1092,0.5234,0.5356,0.089,0.8736,0.1568,0.042,0.0064,-0.0441,0.8102,0.0832,0.0323,0.004,-0.0228,0.2836,0.0534,0.0947,0.0156,-0.0441,0.8736,0.1773,0.4234,0.4529,0.1241,0.6187,0.121,0.0948,0.0932,-0.0055,0.4287,0.0838,0.0858,0.0716,0,0.2571,0.0759,0.1307,0.1126,-0.0055,0.6187,0.1356
Simon_Kalteis_V19-18;#299;Ebene D - 2021-01-29 14.53.35.ndpi,PathCellObject,,PathAnnotationObject,Polygon,26923.7,2059,0.8935,16.7428,14.7335,0.9692,1,4.9766,4.3042,167.6391,46.0508,0.9934,1,14.9764,14.25,0.0999,0.3859,0.398,0.0583,0.64,0.1072,0.0485,0.0161,-0.0402,0.6393,0.0898,0.0664,0.0362,-0.0293,0.54,0.0937,0.0823,0.0232,-0.0402,0.64,0.1365,0.3245,0.356,0.1194,0.4415,0.081,0.1604,0.1558,0.0052,0.4597,0.0635,0.1698,0.1615,0.0052,0.4597,0.0713,0.1768,0.1614,0.0052,0.4597,0.0819
Simon_Kalteis_V19-18;#299;Ebene D - 2021-01-29 14.53.35.ndpi,PathCellObject,,PathAnnotationObject,Polygon,26624.1,2171.2,0.8933,13.9111,13.4684,0.9637,1,4.6909,3.8887,158.5523,44.7941,0.993,1,14.683,13.8349,0.0877,0.4231,0.4325,0.0052,0.8753,0.1521,0.0538,0.0339,-0.0164,0.6789,0.079,0.0767,0.0414,-0.0121,0.6789,0.1126,0.0863,0.0396,-0.0164,0.8753,0.1366,0.2709,0.2786,-0.013,0.5278,0.1295,0.0744,0.0682,-0.0145,0.3857,0.0627,0.0986,0.0851,0,0.3857,0.0718,0.0917,0.0733,-0.0145,0.5278,0.0903
Simon_Kalteis_V19-18;#299;Ebene D - 2021-01-29 14.53.35.ndpi,PathCellObject,,PathAnnotationObject,Polygon,24925.8,1550.3,0.893,17.7944,15.1455,0.9748,1,5.1211,4.5426,170.6828,46.4563,0.9938,1,15.1162,14.4941,0.1042,0.3603,0.3496,0.1627,0.5912,0.094,0.102,0.0856,-0.0091,0.5428,0.0858,0.1291,0.1006,-0.0085,0.5252,0.1194,0.129,0.0955,-0.0091,0.5912,0.1173,0.3576,0.3712,0.1557,0.468,0.0673,0.151,0.1438,0,0.4563,0.0704,0.1764,0.1628,0,0.4528,0.1002,0.1725,0.1518,0,0.468,0.0944
Simon_Kalteis_V19-18;#299;Ebene D - 2021-01-29 14.53.35.ndpi,PathCellObject,,PathAnnotationObject,Polygon,29934.4,1711.7,0.8929,9.0355,10.8695,0.961,1,3.6043,3.2994,140.7811,42.1981,0.9935,1,13.5985,13.2324,0.0642,0.3475,0.3835,0.0326,0.5436,0.1108,0.0427,0.0037,-0.0193,0.6753,0.0891,0.0212,0.0021,-0.008,0.2136,0.0396,0.0621,0.0052,-0.0193,0.6753,0.1173,0.2595,0.2894,-0.0058,0.4679,0.1209,0.0779,0.0409,-0.0133,0.4592,0.0919,0.0646,0.0262,-0.0133,0.3081,0.0755,0.0894,0.0502,-0.0133,0.4679,0.1039
Simon_Kalteis_V19-18;#299;Ebene D - 2021-01-29 14.53.35.ndpi,PathCellObject,,PathAnnotationObject,Polygon,25110.1,1510.5,0.8928,14.7412,13.9981,0.9454,1,5.0411,3.8378,161.9696,45.3153,0.9912,1,15.0131,13.7983,0.091,0.5186,0.5368,0.093,0.7709,0.1418,0.0523,0.0212,-0.0295,0.4061,0.0714,0.0807,0.0491,-0.0181,0.3844,0.0977,0.0953,0.0329,-0.0295,0.7709,0.1571,0.3865,0.4308,-0.0192,0.584,0.1499,0.128,0.1319,-0.0049,0.4293,0.0953,0.1559,0.168,0,0.3879,0.0953,0.1518,0.1463,-0.0192,0.584,0.1261
Simon_Kalteis_V19-18;#299;Ebene D - 2021-01-29 14.53.35.ndpi,PathCellObject,,PathAnnotationObject,Polygon,30193.8,1723.2,0.8923,12.4649,12.7096,0.9697,1,4.2439,3.853,153.3789,44.0392,0.9938,1,14.2415,13.8126,0.0813,0.3535,0.3535,0.0212,0.6696,0.125,0.0352,0.0253,-0.0227,0.352,0.0412,0.0331,0.0231,-0.0048,0.1322,0.0309,0.0607,0.0292,-0.0227,0.6696,0.1014,0.2228,0.2356,-0.0594,0.4639,0.1167,0.0612,0.0563,-0.0159,0.2953,0.0468,0.0587,0.0509,0,0.1556,0.0372,0.0741,0.0599,-0.0594,0.4639,0.0709
