Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Detection probability,Nucleus: Area µm^2,Nucleus: Length µm,Nucleus: Circularity,Nucleus: Solidity,Nucleus: Max diameter µm,Nucleus: Min diameter µm,Cell: Area µm^2,Cell: Length µm,Cell: Circularity,Cell: Solidity,Cell: Max diameter µm,Cell: Min diameter µm,Nucleus/Cell area ratio,Hematoxylin: Nucleus: Mean,Hematoxylin: Nucleus: Median,Hematoxylin: Nucleus: Min,Hematoxylin: Nucleus: Max,Hematoxylin: Nucleus: Std.Dev.,Hematoxylin: Cytoplasm: Mean,Hematoxylin: Cytoplasm: Median,Hematoxylin: Cytoplasm: Min,Hematoxylin: Cytoplasm: Max,Hematoxylin: Cytoplasm: Std.Dev.,Hematoxylin: Membrane: Mean,Hematoxylin: Membrane: Median,Hematoxylin: Membrane: Min,Hematoxylin: Membrane: Max,Hematoxylin: Membrane: Std.Dev.,Hematoxylin: Cell: Mean,Hematoxylin: Cell: Median,Hematoxylin: Cell: Min,Hematoxylin: Cell: Max,Hematoxylin: Cell: Std.Dev.,Eosin: Nucleus: Mean,Eosin: Nucleus: Median,Eosin: Nucleus: Min,Eosin: Nucleus: Max,Eosin: Nucleus: Std.Dev.,Eosin: Cytoplasm: Mean,Eosin: Cytoplasm: Median,Eosin: Cytoplasm: Min,Eosin: Cytoplasm: Max,Eosin: Cytoplasm: Std.Dev.,Eosin: Membrane: Mean,Eosin: Membrane: Median,Eosin: Membrane: Min,Eosin: Membrane: Max,Eosin: Membrane: Std.Dev.,Eosin: Cell: Mean,Eosin: Cell: Median,Eosin: Cell: Min,Eosin: Cell: Max,Eosin: Cell: Std.Dev.
V19-18;#287;Ebene C - 2021-01-29 13.29.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,26824.3,1951.1,0.8964,16.0938,14.3325,0.9845,1,4.7125,4.4389,165.0699,45.6527,0.9953,1,14.7038,14.3941,0.0975,0.3616,0.3602,0.0435,0.6817,0.158,0.026,0,-0.0355,0.3556,0.0569,0.0291,0,-0.0098,0.3023,0.0642,0.0586,0,-0.0355,0.6817,0.1233,0.0809,0.0912,-0.136,0.2259,0.076,0.0104,0,-0.1473,0.2204,0.0292,0.0078,0,-0.042,0.1062,0.0242,0.0172,0,-0.1473,0.2259,0.042
V19-18;#287;Ebene C - 2021-01-29 13.29.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,26843.4,1952.3,0.8954,18.0461,15.2358,0.9769,1,5.107,4.5523,171.3444,46.5435,0.9939,1,15.0993,14.5087,0.1053,0.3978,0.4016,0.0314,0.7755,0.201,0.0054,0,-0.034,0.3809,0.0273,0.0066,0,-0.0133,0.2883,0.0332,0.0468,0,-0.034,0.7755,0.1394,0.0737,0.0741,-0.1758,0.3072,0.1034,0.0007,0,-0.1495,0.2531,0.0186,0.0026,0,-0.0339,0.1462,0.0199,0.0084,0,-0.1758,0.3072,0.044
V19-18;#287;Ebene C - 2021-01-29 13.29.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,26528.5,1861.3,0.8736,20.1589,16.4387,0.9374,1,6.0252,4.508,179.4281,47.7414,0.9893,1,16.0039,14.4551,0.1123,0.4629,0.4508,0.0218,0.8644,0.1747,0.0099,0,-0.0292,0.6077,0.0407,0.0142,0,-0.007,0.1521,0.0308,0.0608,0,-0.0292,0.8644,0.1593,0.09,0.1019,-0.2125,0.2912,0.1061,0.002,0,-0.1106,0.2761,0.0219,0.0015,0,-0.023,0.0793,0.014,0.0119,0,-0.2125,0.2912,0.0496
V19-18;#287;Ebene C - 2021-01-29 13.29.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,26802.1,1954.4,0.868,11.8013,12.529,0.9447,1,4.534,3.508,151.5748,43.8366,0.9912,1,14.5061,13.4733,0.0779,0.4074,0.3983,0.1109,0.72,0.1683,0.0528,0.025,-0.0197,0.502,0.0716,0.0209,0,-0.0197,0.2142,0.0473,0.0803,0.0346,-0.0197,0.72,0.1261,0.1213,0.1131,-0.0251,0.3607,0.0799,0.0122,0,-0.0703,0.1862,0.0306,0.0079,0,-0.0439,0.1464,0.0256,0.0206,0,-0.0703,0.3607,0.047
V19-18;#287;Ebene C - 2021-01-29 13.29.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,26562,1931,0.8658,14.0932,13.9648,0.9081,1,5.288,3.4091,161.2457,45.2866,0.988,1,15.27,13.368,0.0874,0.3667,0.3844,0.0185,0.6455,0.1198,0.0282,0,-0.0187,0.4246,0.0638,0.0468,0.0093,-0.0148,0.311,0.0745,0.058,0,-0.0187,0.6455,0.1191,0.1008,0.12,-0.0814,0.191,0.0597,0.0038,0,-0.1128,0.129,0.022,0.0008,0,-0.1128,0.0938,0.0278,0.0123,0,-0.1128,0.191,0.0389
V19-18;#287;Ebene C - 2021-01-29 13.29.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,26703.3,1969.3,0.8658,14.2972,14.0056,0.9159,1,5.2003,3.7221,161.5602,45.3162,0.9886,1,15.1914,13.7018,0.0885,0.2038,0.2051,0.0358,0.3565,0.0572,0.0261,0,-0.0247,0.2617,0.0536,0.0253,0,-0.0157,0.2617,0.0622,0.0416,0,-0.0247,0.3565,0.0737,0.0665,0.0663,-0.0387,0.1889,0.0354,0.0068,0,-0.0666,0.118,0.0199,0.0088,0,-0.0187,0.0895,0.021,0.012,0,-0.0666,0.1889,0.0275
V19-18;#287;Ebene C - 2021-01-29 13.29.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,26741.3,1971.5,0.8428,12.63,13.2559,0.9032,1,5.1055,3.2294,155.9137,44.5496,0.9872,1,15.0752,13.1866,0.081,0.3891,0.4337,0.0339,0.5551,0.124,0.006,0,-0.0202,0.2874,0.024,0.0119,0,-0.0083,0.1126,0.0253,0.0373,0,-0.0202,0.5551,0.113,0.0907,0.0982,-0.0445,0.1845,0.0583,0.0032,0,-0.07,0.0916,0.0106,0.008,0,-0.0061,0.0853,0.0156,0.0103,0,-0.07,0.1845,0.0309
V19-18;#287;Ebene C - 2021-01-29 13.29.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,26675.8,1981.9,0.8398,14.3657,14.0393,0.9159,0.9872,5.0482,3.7737,161.6179,45.3344,0.9882,0.999,15.0424,13.7446,0.0889,0.3035,0.28,0.0693,0.5874,0.1238,0.0109,0,-0.0262,0.3771,0.0371,0.0172,0,-0.0091,0.1668,0.0384,0.0369,0,-0.0262,0.5874,0.0977,0.0734,0.0748,-0.0648,0.1889,0.0506,0.0048,0,-0.0771,0.1466,0.016,0.0103,0,-0.0107,0.1164,0.0243,0.0109,0,-0.0771,0.1889,0.029
V19-18;#287;Ebene C - 2021-01-29 13.29.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,26650.4,1982.5,0.8376,24.8131,18.8348,0.879,1,7.5591,4.3379,196.2586,50.1545,0.9804,1,17.5394,14.3387,0.1264,0.2636,0.2342,0.0519,0.7722,0.1318,0.0071,0,-0.0201,0.32,0.0236,0.0048,0,-0.0113,0.1198,0.0181,0.0394,0,-0.0201,0.7722,0.0996,0.0411,0.0313,-0.0857,0.216,0.06,0.0013,0,-0.0576,0.1598,0.0131,0.0002,0,-0.0254,0.0297,0.006,0.0063,0,-0.0857,0.216,0.0279
V19-18;#287;Ebene C - 2021-01-29 13.29.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,26684.9,1967.8,0.8323,9.7252,11.623,0.9046,1,4.3825,2.8166,144.9501,42.9175,0.9889,1,14.3802,12.7659,0.0671,0.1852,0.1894,-0.0122,0.3212,0.0856,0.0341,0,-0.0187,0.4175,0.0668,0.0312,0,-0.0028,0.2062,0.0559,0.0441,0,-0.0187,0.4175,0.0779,0.0674,0.0689,-0.02,0.1451,0.0374,0.0113,0,-0.0735,0.1572,0.0299,0.0097,0,-0.0215,0.1361,0.0285,0.015,0,-0.0735,0.1572,0.0335
