Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Area µm^2,Perimeter µm
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,PathAnnotationObject,,Image,Polygon,1961,4547.5,4,953.34,120.98
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,PathAnnotationObject,,Image,Polygon,1890.3,4554.3,16,2529,362.72
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,PathAnnotationObject,,Image,Geometry,2074.3,4388.2,121,27237.3,1367.4
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,PathAnnotationObject,,Image,Polygon,2199.4,4437.3,149,28127.8,1259.4
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,PathAnnotationObject,,Image,Polygon,2600.9,4219.4,152,32762.5,897.94
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,PathAnnotationObject,,Image,Geometry,2868.6,4163,37,4261.1,322.88
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,PathAnnotationObject,,Image,Geometry,3086.5,4098.2,93,20893.5,1154.5
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,PathAnnotationObject,,Image,Geometry,3337.5,4024.2,40,6509,468.79
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,PathAnnotationObject,,Image,Polygon,3546.6,4006.8,27,6146.1,444.42
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,PathAnnotationObject,,Image,Polygon,3603.9,3906.7,114,28556.8,1024.1
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,PathAnnotationObject,,Image,Polygon,3776,3941.8,47,10211.2,608.99
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,PathAnnotationObject,,Image,Geometry,4137.4,3841.1,11,1898.7,164.97
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,PathAnnotationObject,,Image,Geometry,4106.9,3883.9,81,19314.6,915.2
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,PathAnnotationObject,,Image,Polygon,4431.7,3854.1,28,5850.6,463.4
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,PathAnnotationObject,,Image,Geometry,4632.2,3761.6,294,69519.2,2282
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,PathAnnotationObject,,Image,Geometry,5114.5,3775.9,230,47332.2,2067.4
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,PathAnnotationObject,,Image,Polygon,5446.5,3802.2,58,10674.6,545.79
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,PathAnnotationObject,,Image,Polygon,5781.5,3815.7,109,18826.6,1319.8
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,PathAnnotationObject,,Image,Geometry,5966.1,3706.7,172,35747.2,1507.4
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,PathAnnotationObject,,Image,Geometry,6252.7,3811.1,78,15738.6,886.33
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,PathAnnotationObject,,Image,Geometry,6530.9,3772.3,42,8907.5,640.35
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,PathAnnotationObject,,Image,Geometry,6638,3731.1,80,17309,988.71
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,PathAnnotationObject,,Image,Polygon,6889.6,3776.3,53,6982.2,453.71
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,PathAnnotationObject,,Image,Geometry,8037.7,3954.1,573,120018.6,4363.1
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,PathAnnotationObject,,Image,Polygon,8643,4151.3,34,4490.4,453.17
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,PathAnnotationObject,,Image,Geometry,8983.5,4136.4,509,86244.8,3095.6
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,PathAnnotationObject,,Image,Polygon,9085.2,4431.8,373,35525.9,1231.6
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,PathAnnotationObject,,Image,Polygon,8971.7,4324.8,2,583.72,95.31
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,PathAnnotationObject,,Image,Polygon,9331.1,4341.8,9,913.41,129.85
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,PathAnnotationObject,,Image,Polygon,9239.3,4541.1,19,909.18,153.02
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,PathAnnotationObject,,Image,Polygon,8626,4217.6,11,2094.1,322.03
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,PathAnnotationObject,,Image,Geometry,8922.5,4248.3,87,17258,1121.4
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,PathAnnotationObject,,Image,Polygon,7236.4,3837,106,16020.7,938.84
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,PathAnnotationObject,,Image,Polygon,2201.4,4541,2,458.09,94.49
V19-18;#287;Ebene E - 2021-01-29 13.35.45.ndpi,ColorDeconvolution,ColorDeconvolution,Image,Rectangle,5159.1,3809.3,68,19775.9,565.89
