Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Area µm^2,Perimeter µm
V19-18;#336;Ebene C - 2021-01-29 14.38.01.ndpi,PathAnnotationObject,,Image,Geometry,3077.7,3125.2,237,41606.6,2090.6
V19-18;#336;Ebene C - 2021-01-29 14.38.01.ndpi,PathAnnotationObject,,Image,Polygon,2512.8,5187.6,33,4828.9,419.03
V19-18;#336;Ebene C - 2021-01-29 14.38.01.ndpi,PathAnnotationObject,,Image,Polygon,3486.8,1691.8,204,15080,637.04
V19-18;#336;Ebene C - 2021-01-29 14.38.01.ndpi,PathAnnotationObject,,Image,Polygon,3619,2049.4,11,988.39,128.2
V19-18;#336;Ebene C - 2021-01-29 14.38.01.ndpi,PathAnnotationObject,,Image,Geometry,3314,2328.6,2236,257551.1,8349
V19-18;#336;Ebene C - 2021-01-29 14.38.01.ndpi,PathAnnotationObject,,Image,Geometry,2763.4,3960.9,1528,204339.7,8437.4
V19-18;#336;Ebene C - 2021-01-29 14.38.01.ndpi,PathAnnotationObject,,Image,Polygon,2655.4,4818,10,1261,218.81
V19-18;#336;Ebene C - 2021-01-29 14.38.01.ndpi,PathAnnotationObject,,Image,Polygon,2648.8,4885.5,1,121.08,43.7
V19-18;#336;Ebene C - 2021-01-29 14.38.01.ndpi,PathAnnotationObject,,Image,Geometry,2544.1,4849.1,214,35428.2,2521.5
V19-18;#336;Ebene C - 2021-01-29 14.38.01.ndpi,PathAnnotationObject,,Image,Geometry,2581.8,5131.5,261,47168.6,2377.3
V19-18;#336;Ebene C - 2021-01-29 14.38.01.ndpi,PathAnnotationObject,,Image,Geometry,2685.7,5470.7,114,17041.8,1236.8
V19-18;#336;Ebene C - 2021-01-29 14.38.01.ndpi,PathAnnotationObject,,Image,Geometry,2681.4,5916.3,1004,123857.2,4935.8
V19-18;#336;Ebene C - 2021-01-29 14.38.01.ndpi,PathAnnotationObject,,Image,Polygon,2749.2,6321.3,125,21439.9,930.52
V19-18;#336;Ebene C - 2021-01-29 14.38.01.ndpi,PathAnnotationObject,,Image,Polygon,3022.7,6835.8,2,290.15,71.8
V19-18;#336;Ebene C - 2021-01-29 14.38.01.ndpi,PathAnnotationObject,,Image,Polygon,3013.2,6787.5,2,126.03,42.81
V19-18;#336;Ebene C - 2021-01-29 14.38.01.ndpi,PathAnnotationObject,,Image,Polygon,3025.3,6772.2,2,146.77,48.77
V19-18;#336;Ebene C - 2021-01-29 14.38.01.ndpi,PathAnnotationObject,,Image,Polygon,2997,6668.5,11,1588.4,263.1
V19-18;#336;Ebene C - 2021-01-29 14.38.01.ndpi,PathAnnotationObject,,Image,Geometry,3123.7,7150.8,58,8538,726.44
V19-18;#336;Ebene C - 2021-01-29 14.38.01.ndpi,PathAnnotationObject,,Image,Geometry,3296.4,7297.7,27,5738.1,543.51
V19-18;#336;Ebene C - 2021-01-29 14.38.01.ndpi,PathAnnotationObject,,Image,Polygon,3504.7,7493,1,165.23,55.47
V19-18;#336;Ebene C - 2021-01-29 14.38.01.ndpi,PathAnnotationObject,,Image,Polygon,3565,7583.7,2,208,66.25
V19-18;#336;Ebene C - 2021-01-29 14.38.01.ndpi,PathAnnotationObject,,Image,Polygon,3625.3,7671.1,4,527.31,148.8
V19-18;#336;Ebene C - 2021-01-29 14.38.01.ndpi,PathAnnotationObject,,Image,Geometry,3495.9,7628.7,568,70664.9,4021.5
V19-18;#336;Ebene C - 2021-01-29 14.38.01.ndpi,PathAnnotationObject,,Image,Polygon,3747.1,7865.4,3,200.1,54.4
V19-18;#336;Ebene C - 2021-01-29 14.38.01.ndpi,PathAnnotationObject,,Image,Geometry,3846.1,7916.7,99,14130.6,779.68
V19-18;#336;Ebene C - 2021-01-29 14.38.01.ndpi,PathAnnotationObject,,Image,Geometry,3636.1,1923.4,272,46929.3,2293.1
V19-18;#336;Ebene C - 2021-01-29 14.38.01.ndpi,PathAnnotationObject,,Image,Geometry,3387.5,2568.3,42,6789.4,706.7
V19-18;#336;Ebene C - 2021-01-29 14.38.01.ndpi,PathAnnotationObject,,Image,Geometry,3221.9,2873.4,24,6312.9,843.42
V19-18;#336;Ebene C - 2021-01-29 14.38.01.ndpi,PathAnnotationObject,,Image,Geometry,2875.8,6768.6,871,127130.7,3375
V19-18;#336;Ebene C - 2021-01-29 14.38.01.ndpi,ColorDeconvolution,ColorDeconvolution,Image,Rectangle,2646.6,5176.5,37,6295.2,317.38
