Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Area µm^2,Perimeter µm
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathAnnotationObject,,Image,Geometry,4267.6,5054.7,22,3309.5,332.42
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathAnnotationObject,,Image,Polygon,2285.5,7440.2,14,1700,261.89
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathAnnotationObject,,Image,Polygon,2252.7,7609,53,11697.7,620.92
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathAnnotationObject,,Image,Polygon,2294.2,7678.2,3,393.2,71.01
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathAnnotationObject,,Image,Polygon,2311.9,7497.9,11,2495.4,300.72
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathAnnotationObject,,Image,Polygon,2079.8,10493.2,4,859.82,156.89
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathAnnotationObject,,Image,Polygon,2126.3,10849.6,63,17433.9,738.14
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathAnnotationObject,,Image,Polygon,2201.1,11061.7,2,546.09,226.8
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathAnnotationObject,,Image,Polygon,2365.8,12168.6,58,14069.5,850.61
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathAnnotationObject,,Image,Polygon,2707.6,12698.3,27,6707.8,494.64
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathAnnotationObject,,Image,Geometry,2557.4,12506.8,88,18103.6,1112.4
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathAnnotationObject,,Image,Polygon,2123.6,10532,9,8014.4,665.1
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathAnnotationObject,,Image,Polygon,4323.6,4997.4,92,22115.7,1070.7
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathAnnotationObject,,Image,Polygon,3903.9,5461.8,7,1259.8,168.49
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathAnnotationObject,,Image,Polygon,3817.8,5729.5,1,189,49.44
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathAnnotationObject,,Image,Polygon,3709.1,5683,359,102666.7,2451.2
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathAnnotationObject,,Image,Polygon,3662.8,5604.5,7,1858.6,205.48
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathAnnotationObject,,Image,Polygon,2531.7,6904.6,1,356.18,67.65
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathAnnotationObject,,Image,Polygon,2338.8,7413.4,14,1088.9,191.48
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathAnnotationObject,,Image,Polygon,2431,7385.1,3,377.87,69.35
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathAnnotationObject,,Image,Geometry,2183.3,8349.1,141,74035.4,4417.6
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathAnnotationObject,,Image,Polygon,2379.2,12061.5,4,1143.2,123.79
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathAnnotationObject,,Image,Polygon,2279.7,12228.9,18,10262.4,583.22
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathAnnotationObject,,Image,Polygon,2742.7,12606.7,15,5482.7,515.31
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathAnnotationObject,,Image,Geometry,2021.4,9876.7,565,165302.7,7698.6
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathAnnotationObject,,Image,Geometry,2600.9,6667.1,597,185967.5,7442.5
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathAnnotationObject,,Image,Polygon,3381.9,5793.4,27,5201.2,495.24
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathAnnotationObject,,Image,Polygon,2242.6,7489.2,18,1048.7,185.33
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathAnnotationObject,,Image,Geometry,2179.7,11513.8,214,83981.8,3599.5
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathAnnotationObject,,Image,Geometry,2482.2,12641.4,468,114995.6,4401.5
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,ColorDeconvolution,ColorDeconvolution,Image,Rectangle,2340.6,7292,33,5464.5,299.72
