Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Detection probability,Nucleus: Area µm^2,Nucleus: Length µm,Nucleus: Circularity,Nucleus: Solidity,Nucleus: Max diameter µm,Nucleus: Min diameter µm,Cell: Area µm^2,Cell: Length µm,Cell: Circularity,Cell: Solidity,Cell: Max diameter µm,Cell: Min diameter µm,Nucleus/Cell area ratio,Hematoxylin: Nucleus: Mean,Hematoxylin: Nucleus: Median,Hematoxylin: Nucleus: Min,Hematoxylin: Nucleus: Max,Hematoxylin: Nucleus: Std.Dev.,Hematoxylin: Cytoplasm: Mean,Hematoxylin: Cytoplasm: Median,Hematoxylin: Cytoplasm: Min,Hematoxylin: Cytoplasm: Max,Hematoxylin: Cytoplasm: Std.Dev.,Hematoxylin: Membrane: Mean,Hematoxylin: Membrane: Median,Hematoxylin: Membrane: Min,Hematoxylin: Membrane: Max,Hematoxylin: Membrane: Std.Dev.,Hematoxylin: Cell: Mean,Hematoxylin: Cell: Median,Hematoxylin: Cell: Min,Hematoxylin: Cell: Max,Hematoxylin: Cell: Std.Dev.,Eosin: Nucleus: Mean,Eosin: Nucleus: Median,Eosin: Nucleus: Min,Eosin: Nucleus: Max,Eosin: Nucleus: Std.Dev.,Eosin: Cytoplasm: Mean,Eosin: Cytoplasm: Median,Eosin: Cytoplasm: Min,Eosin: Cytoplasm: Max,Eosin: Cytoplasm: Std.Dev.,Eosin: Membrane: Mean,Eosin: Membrane: Median,Eosin: Membrane: Min,Eosin: Membrane: Max,Eosin: Membrane: Std.Dev.,Eosin: Cell: Mean,Eosin: Cell: Median,Eosin: Cell: Min,Eosin: Cell: Max,Eosin: Cell: Std.Dev.
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathCellObject,,PathAnnotationObject,Polygon,4290.2,5014.9,0.8397,9.2332,11.321,0.9053,1,4.2743,2.8087,143.0271,42.6309,0.989,1,14.2737,12.7716,0.0646,0.517,0.5078,-0.1261,0.994,0.2851,0.0241,0,-0.1219,0.4691,0.0628,0.0284,0,-0.0677,0.4691,0.0798,0.0556,0.0005,-0.1261,0.994,0.1531,0.2039,0.1883,-0.1109,0.5636,0.1587,0.0558,0.0183,-0.0678,0.4063,0.0728,0.0483,0.0134,-0.0255,0.2448,0.0637,0.0653,0.0237,-0.1109,0.5636,0.0888
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathCellObject,,PathAnnotationObject,Polygon,4246.6,5098.4,0.8191,11.1586,12.4918,0.8986,1,4.7903,2.9967,151.0771,43.8219,0.9886,1,14.7811,12.9781,0.0739,0.2277,0.2407,-0.0685,0.5193,0.1302,0.0395,0.0034,-0.0805,0.5823,0.081,0.0161,0.0021,-0.0251,0.1457,0.0354,0.0535,0.005,-0.0805,0.5823,0.0988,0.1911,0.2207,-0.074,0.4168,0.1034,0.0752,0.0523,-0.0577,0.3695,0.0764,0.0525,0.0294,-0.0005,0.2243,0.057,0.0838,0.059,-0.074,0.4168,0.0843
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathCellObject,,PathAnnotationObject,Polygon,4240.8,5069.4,0.8116,12.0871,13.2695,0.8626,0.9869,5.0799,3.3081,155.834,44.5915,0.9848,0.9991,15.0707,13.2705,0.0776,0.3347,0.3273,0.0009,0.6294,0.1448,0.0347,0.0036,-0.1107,0.9367,0.0782,0.0215,0.0007,-0.0378,0.3772,0.0539,0.0581,0.0057,-0.1107,0.9367,0.1172,0.1883,0.1954,0.0199,0.374,0.0837,0.0588,0.0464,-0.3183,0.3468,0.0656,0.0505,0.035,-0.1875,0.2177,0.0639,0.0689,0.0561,-0.3183,0.374,0.0756
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathCellObject,,PathAnnotationObject,Polygon,4288.9,5026,0.7984,9.3093,11.4988,0.8848,1,4.4112,2.6646,144.0103,42.809,0.9875,1,14.4049,12.6535,0.0646,0.5226,0.5295,-0.0974,1.0222,0.2671,0.0226,0.0017,-0.1149,0.4805,0.0596,0.0206,0,-0.0966,0.2642,0.0572,0.0546,0.0027,-0.1149,1.0222,0.1512,0.2389,0.2543,-0.0522,0.5333,0.1379,0.0759,0.0635,-0.0503,0.3647,0.0695,0.0573,0.036,-0.0048,0.2411,0.0611,0.0863,0.069,-0.0522,0.5333,0.0856
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathCellObject,,PathAnnotationObject,Polygon,4254.8,5092.2,0.7804,5.6327,8.7843,0.9173,1,3.2591,2.2798,126.8877,40.1,0.9916,1,13.2601,12.2516,0.0444,0.2162,0.1883,-0.0289,0.6535,0.1522,0.0365,0.0024,-0.0841,0.5606,0.078,0.0175,0.0005,-0.062,0.196,0.0438,0.0445,0.0034,-0.0841,0.6535,0.0906,0.1908,0.1716,0.0664,0.4738,0.0745,0.0754,0.054,-0.036,0.3391,0.0764,0.0566,0.021,-0.0024,0.2527,0.068,0.0805,0.0606,-0.036,0.4738,0.0799
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathCellObject,,PathAnnotationObject,Polygon,4293.2,5032.9,0.7636,4.2475,7.6775,0.9055,1,2.8841,1.9431,120.0117,38.9931,0.9919,1,12.8726,11.8871,0.0354,0.355,0.3263,0.0307,0.7594,0.1857,0.0238,0.0014,-0.1014,0.3498,0.0579,0.0194,0,-0.0784,0.2517,0.0527,0.0357,0.0022,-0.1014,0.7594,0.0908,0.1958,0.2226,-0.0737,0.3411,0.0869,0.08,0.0707,-0.0506,0.3388,0.0721,0.0488,0.0159,-0.0449,0.2476,0.0681,0.0841,0.0748,-0.0737,0.3411,0.0758
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathCellObject,,PathAnnotationObject,Polygon,4257.9,5079.6,0.7609,3.6459,7.0699,0.9166,1,2.5838,1.9289,116.388,38.3857,0.9926,1,12.5619,11.8852,0.0313,0.3051,0.3293,-0.019,0.4926,0.1336,0.0299,0.0003,-0.0693,0.4363,0.0677,0.038,0.0001,-0.0274,0.4019,0.0785,0.0383,0.0007,-0.0693,0.4926,0.085,0.0991,0.1154,-0.0583,0.2381,0.0916,0.0515,0.0292,-0.065,0.2702,0.0586,0.0629,0.046,-0.01,0.2702,0.0638,0.053,0.0306,-0.065,0.2702,0.0604
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathCellObject,,PathAnnotationObject,Polygon,4255.7,5088.1,0.7597,5.3287,8.5211,0.9222,1,3.161,2.1787,125.2527,39.8315,0.9921,1,13.1553,12.1474,0.0425,0.2426,0.2351,-0.0061,0.4848,0.1136,0.0331,0.0014,-0.0838,0.6535,0.0753,0.036,0.0022,-0.045,0.4558,0.0897,0.0417,0.0024,-0.0838,0.6535,0.0878,0.177,0.1874,0.0058,0.3433,0.0873,0.0715,0.0469,-0.053,0.4699,0.0754,0.0497,0.0298,-0.0332,0.2512,0.0563,0.0759,0.0514,-0.053,0.4699,0.0788
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathCellObject,,PathAnnotationObject,Polygon,4266,5044,0.7521,6.0797,9.3378,0.8762,1,3.6741,2.1038,130.1664,40.6618,0.9893,1,13.6707,12.055,0.0467,0.313,0.3052,-0.0163,0.7497,0.1739,0.021,0.0017,-0.0787,0.3309,0.0539,0.0161,0.002,-0.0497,0.2187,0.0455,0.0346,0.0024,-0.0787,0.7497,0.0892,0.189,0.2061,-0.0114,0.3422,0.103,0.0785,0.0677,-0.129,0.3021,0.066,0.059,0.0524,-0.0086,0.1675,0.0484,0.0837,0.0718,-0.129,0.3422,0.072
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathCellObject,,PathAnnotationObject,Polygon,4257.8,5042.3,0.7255,7.0515,9.9803,0.8896,1,3.7858,2.3417,134.5833,41.3219,0.9905,1,13.7842,12.3343,0.0524,0.2057,0.1872,-0.0658,0.4516,0.1322,0.0114,0,-0.1004,0.3165,0.0437,0.021,0,-0.0613,0.2978,0.0632,0.0216,0,-0.1004,0.4516,0.0679,0.166,0.1563,-0.025,0.3253,0.0738,0.0604,0.0358,-0.0383,0.2972,0.0668,0.075,0.0678,-0.0335,0.2799,0.0732,0.066,0.0415,-0.0383,0.3253,0.0712
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathCellObject,,PathAnnotationObject,Polygon,4244.4,5095.2,0.6826,4.4056,7.9801,0.8694,1,3.0034,1.9908,121.5746,39.2863,0.9899,1,13.0018,11.9549,0.0362,0.2842,0.2675,-0.0171,0.5776,0.1643,0.0496,0.0042,-0.0768,0.5193,0.0935,0.0285,0.0028,-0.0202,0.2568,0.0492,0.0581,0.0055,-0.0768,0.5776,0.1064,0.2012,0.2281,-0.0042,0.3636,0.0972,0.0885,0.0648,-0.0768,0.4168,0.0875,0.0445,0.0138,-0.023,0.2118,0.0606,0.0926,0.0701,-0.0768,0.4168,0.0903
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathCellObject,,PathAnnotationObject,Polygon,4270.7,5031.3,0.6796,3.5479,6.9126,0.933,1,2.3524,2.0865,115.3449,38.2129,0.9926,1,12.3425,12.0327,0.0308,0.24,0.257,-0.0457,0.4797,0.1287,0.0143,0.001,-0.0951,0.4518,0.051,0.0102,0.0014,-0.0602,0.2412,0.0405,0.0215,0.0012,-0.0951,0.4797,0.068,0.163,0.1704,-0.065,0.3159,0.0848,0.0737,0.0655,-0.0457,0.2976,0.0629,0.0651,0.0554,-0.0056,0.2165,0.0569,0.0766,0.0678,-0.065,0.3159,0.0656
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathCellObject,,PathAnnotationObject,Polygon,4285.5,5036.6,0.6428,4.0826,7.4841,0.916,1,2.6287,2.0845,118.8878,38.8007,0.9924,1,12.6281,12.01,0.0343,0.2925,0.3003,-0.0332,0.7755,0.1896,0.0239,0.0012,-0.0781,0.5718,0.069,0.02,0.001,-0.0753,0.2018,0.0524,0.0332,0.0019,-0.0781,0.7755,0.0907,0.1694,0.1783,-0.0317,0.3158,0.0796,0.0825,0.0692,-0.0257,0.3355,0.0715,0.0824,0.0608,0,0.2785,0.0748,0.0855,0.0729,-0.0317,0.3355,0.0735
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathCellObject,,PathAnnotationObject,Polygon,4288.5,5041,0.6264,4.3943,7.8343,0.8997,1,2.9778,1.982,121.0407,39.1599,0.9919,1,12.9753,11.9463,0.0363,0.2324,0.1979,0.0181,0.5718,0.1268,0.0414,0.0037,-0.0776,0.7869,0.0937,0.0266,0.0024,-0.0776,0.2793,0.0684,0.0485,0.0047,-0.0776,0.7869,0.1016,0.2022,0.1945,0.1072,0.319,0.0518,0.1031,0.1028,-0.0492,0.3122,0.0798,0.0995,0.0973,0,0.3122,0.0768,0.1067,0.1087,-0.0492,0.319,0.0811
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathCellObject,,PathAnnotationObject,Polygon,4251.7,5080.9,0.6095,5.8408,9.37,0.836,1,3.7879,2.0273,129.9774,40.6796,0.987,1,13.786,11.9796,0.0449,0.2294,0.2285,-0.02,0.4675,0.1099,0.0288,0.001,-0.0884,0.4952,0.0709,0.0545,0.0099,-0.0504,0.4952,0.1029,0.0378,0.0017,-0.0884,0.4952,0.084,0.1747,0.1809,0.066,0.317,0.063,0.0615,0.0385,-0.0577,0.2836,0.0675,0.0686,0.0589,-0.0403,0.2214,0.0628,0.0666,0.0439,-0.0577,0.317,0.0712
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathCellObject,,PathAnnotationObject,Polygon,4243.6,5101.9,0.608,3.564,7.5202,0.7919,1,3.1286,1.619,118.2049,38.8026,0.9866,1,13.1102,11.5448,0.0302,0.1018,0.1065,-0.0184,0.1951,0.0516,0.0341,0.0005,-0.0795,0.5199,0.0822,0.0277,0,-0.0522,0.4627,0.0814,0.0362,0.0007,-0.0795,0.5199,0.0823,0.1171,0.1308,-0.0122,0.2036,0.0511,0.0471,0.0077,-0.0768,0.4168,0.0766,0.0423,0.0034,-0.058,0.2926,0.0741,0.0493,0.009,-0.0768,0.4168,0.0769
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathCellObject,,PathAnnotationObject,Polygon,4286.6,5008.2,0.6064,6.0086,10.3047,0.7111,0.9576,4.2757,1.9225,134.5677,41.5462,0.9797,0.9993,14.2739,11.8837,0.0446,0.219,0.2214,-0.0747,0.5164,0.1432,0.0193,0.0002,-0.1263,0.3079,0.0557,0.0264,0,-0.1263,0.2393,0.0717,0.0285,0.0006,-0.1263,0.5164,0.0751,0.1788,0.1944,-0.005,0.3292,0.083,0.0782,0.0711,-0.0254,0.3524,0.0721,0.0752,0.0402,-0.0254,0.3524,0.0841,0.0828,0.0752,-0.0254,0.3524,0.0756
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathCellObject,,PathAnnotationObject,Polygon,4250.6,5105.3,0.5783,2.3689,5.7233,0.9088,1,1.9334,1.6438,108.4798,37.0462,0.9933,1,11.9257,11.5829,0.0218,0.128,0.1334,-0.0561,0.3136,0.091,0.0085,0,-0.0798,0.2097,0.0305,0.0102,0,-0.0401,0.1516,0.0273,0.0111,0,-0.0798,0.3136,0.0374,0.0832,0.0776,-0.0405,0.2512,0.0778,0.0287,0.0069,-0.046,0.226,0.044,0.0256,0.0052,-0.0279,0.1513,0.0389,0.0299,0.0079,-0.046,0.2512,0.0457
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathCellObject,,PathAnnotationObject,Polygon,4237.7,5074.6,0.5782,2.1717,5.5725,0.8788,1,1.9948,1.6095,107.5747,36.901,0.9928,1,11.9881,11.5727,0.0202,0.3316,0.2833,-0.0305,0.9444,0.2769,0.0407,0.0027,-0.0862,0.6338,0.0937,0.0338,0,-0.0665,0.5938,0.1137,0.0468,0.0034,-0.0862,0.9444,0.1091,-0.0213,-0.0371,-0.317,0.3468,0.1592,0.0501,0.0174,-0.1998,0.3207,0.0677,0.0544,0.0145,-0.0151,0.3044,0.08,0.0486,0.0171,-0.317,0.3468,0.0714
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathCellObject,,PathAnnotationObject,Polygon,4248.3,5102.2,0.5683,4.6223,7.9422,0.9208,1,2.7337,2.3558,121.7071,39.2583,0.9923,1,12.7342,12.3047,0.038,0.088,0.0953,-0.0383,0.2097,0.0597,0.0381,0.0007,-0.0798,0.5246,0.0861,0.012,0.0002,-0.0689,0.2067,0.0392,0.04,0.001,-0.0798,0.5246,0.0858,0.1233,0.1266,0.012,0.2274,0.059,0.0526,0.0156,-0.0758,0.4234,0.075,0.0463,0.0107,-0.0062,0.2358,0.059,0.0552,0.0183,-0.0758,0.4234,0.0756
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathCellObject,,PathAnnotationObject,Polygon,4244.7,5093,0.5398,3.743,7.3356,0.8741,1,2.7964,1.8415,117.5358,38.6258,0.99,1,12.78,11.7907,0.0318,0.2075,0.2063,0.0015,0.4292,0.0986,0.0447,0.0047,-0.0816,0.5797,0.0921,0.0549,0.0125,-0.0497,0.3837,0.0912,0.0497,0.006,-0.0816,0.5797,0.0965,0.1809,0.182,0.0516,0.2958,0.062,0.0969,0.0792,-0.0268,0.4168,0.0857,0.0801,0.0551,-0.0064,0.2813,0.0734,0.0995,0.0831,-0.0268,0.4168,0.0863
