Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Detection probability,Nucleus: Area µm^2,Nucleus: Length µm,Nucleus: Circularity,Nucleus: Solidity,Nucleus: Max diameter µm,Nucleus: Min diameter µm,Cell: Area µm^2,Cell: Length µm,Cell: Circularity,Cell: Solidity,Cell: Max diameter µm,Cell: Min diameter µm,Nucleus/Cell area ratio,Hematoxylin: Nucleus: Mean,Hematoxylin: Nucleus: Median,Hematoxylin: Nucleus: Min,Hematoxylin: Nucleus: Max,Hematoxylin: Nucleus: Std.Dev.,Hematoxylin: Cytoplasm: Mean,Hematoxylin: Cytoplasm: Median,Hematoxylin: Cytoplasm: Min,Hematoxylin: Cytoplasm: Max,Hematoxylin: Cytoplasm: Std.Dev.,Hematoxylin: Membrane: Mean,Hematoxylin: Membrane: Median,Hematoxylin: Membrane: Min,Hematoxylin: Membrane: Max,Hematoxylin: Membrane: Std.Dev.,Hematoxylin: Cell: Mean,Hematoxylin: Cell: Median,Hematoxylin: Cell: Min,Hematoxylin: Cell: Max,Hematoxylin: Cell: Std.Dev.,Eosin: Nucleus: Mean,Eosin: Nucleus: Median,Eosin: Nucleus: Min,Eosin: Nucleus: Max,Eosin: Nucleus: Std.Dev.,Eosin: Cytoplasm: Mean,Eosin: Cytoplasm: Median,Eosin: Cytoplasm: Min,Eosin: Cytoplasm: Max,Eosin: Cytoplasm: Std.Dev.,Eosin: Membrane: Mean,Eosin: Membrane: Median,Eosin: Membrane: Min,Eosin: Membrane: Max,Eosin: Membrane: Std.Dev.,Eosin: Cell: Mean,Eosin: Cell: Median,Eosin: Cell: Min,Eosin: Cell: Max,Eosin: Cell: Std.Dev.
V19-18;#339;Ebene E - 2021-01-29 19.53.11.ndpi,PathCellObject,,PathAnnotationObject,Polygon,21028.6,3872.8,0.889,8.9426,10.9484,0.9375,1,3.9117,3.0603,140.8931,42.2545,0.9916,1,13.9101,13.0159,0.0634,0.535,0.5506,-0.0603,1.0348,0.2579,0.0893,0.0354,-0.098,0.9175,0.1646,0.0425,0.0064,-0.0896,0.448,0.0845,0.1177,0.0415,-0.098,1.0348,0.2036,0.1773,0.1624,-0.0995,0.5296,0.1794,0.121,0.1185,-0.0804,0.4802,0.0813,0.1169,0.1074,-0.0487,0.3694,0.0893,0.1246,0.1193,-0.0995,0.5296,0.0918
V19-18;#339;Ebene E - 2021-01-29 19.53.11.ndpi,PathCellObject,,PathAnnotationObject,Polygon,21092.3,3904.3,0.8628,25.2804,18.6,0.9183,1,7.0957,4.7623,195.1735,49.8985,0.985,1,17.0809,14.6992,0.1295,0.3109,0.2876,0.0783,0.6907,0.1252,0.0433,0.011,-0.0869,0.5484,0.0686,0.0514,0.0371,-0.0494,0.2813,0.0619,0.0779,0.0253,-0.0869,0.6907,0.1191,0.1382,0.1511,-0.1594,0.3467,0.0842,0.0386,0.018,-0.16,0.2838,0.0527,0.0628,0.0599,-0.0579,0.1952,0.0533,0.0515,0.0283,-0.16,0.3467,0.0667
V19-18;#339;Ebene E - 2021-01-29 19.53.11.ndpi,PathCellObject,,PathAnnotationObject,Polygon,21271.3,3748.7,0.8553,39.2733,22.4364,0.9804,1,7.4962,6.8698,228.3174,53.7384,0.9935,1,17.4942,16.8293,0.172,0.2704,0.2645,0.0324,0.5852,0.0947,0.0552,0.0422,-0.0638,0.3338,0.063,0.0487,0.0255,-0.0247,0.2782,0.0578,0.0921,0.0596,-0.0638,0.5852,0.1068,0.1325,0.1322,0.0046,0.2811,0.0493,0.0702,0.0634,-0.0433,0.2804,0.0482,0.0516,0.0414,-0.03,0.2008,0.0448,0.0809,0.076,-0.0433,0.2811,0.0538
V19-18;#339;Ebene E - 2021-01-29 19.53.11.ndpi,PathCellObject,,PathAnnotationObject,Polygon,21223.8,3765.7,0.855,10.0856,11.575,0.9459,1,4.1263,3.1636,145.2038,42.8905,0.9919,1,14.1105,13.1482,0.0695,0.5078,0.4914,-0.0231,1.2885,0.276,0.0269,0.0063,-0.1105,0.3161,0.0506,0.0434,0.0131,-0.0292,0.2837,0.0675,0.0606,0.0094,-0.1105,1.2885,0.151,0.1403,0.1125,-0.0818,0.4548,0.1304,0.0311,0.0194,-0.0355,0.3755,0.0386,0.0357,0.0232,-0.0147,0.1675,0.0381,0.0387,0.0212,-0.0818,0.4548,0.0579
V19-18;#339;Ebene E - 2021-01-29 19.53.11.ndpi,PathCellObject,,PathAnnotationObject,Polygon,21032.8,3871,0.8549,10.4614,12.2529,0.8756,1,4.7738,2.8348,148.676,43.535,0.9858,1,14.7427,12.8097,0.0704,0.5217,0.5317,0.0333,0.9175,0.2323,0.0665,0.0147,-0.1015,1.0383,0.1523,0.0224,0.0109,-0.0578,0.1573,0.0378,0.0985,0.0227,-0.1015,1.0383,0.1972,0.1753,0.1497,-0.0834,0.4581,0.1334,0.1004,0.0919,-0.0999,0.5314,0.0861,0.0753,0.0641,-0.016,0.2746,0.0618,0.1056,0.095,-0.0999,0.5314,0.0923
V19-18;#339;Ebene E - 2021-01-29 19.53.11.ndpi,PathCellObject,,PathAnnotationObject,Polygon,21269.9,3670.6,0.8522,18.4328,16.1187,0.8915,1,6.0538,3.9118,176.0729,47.4221,0.9839,1,16.0419,13.9098,0.1047,0.345,0.3401,0.0697,0.81,0.1231,0.0239,0.0025,-0.0757,0.3977,0.047,0.0312,0.0078,-0.0236,0.2216,0.0474,0.0576,0.0056,-0.0757,0.81,0.1151,0.0971,0.1147,-0.2217,0.2768,0.0959,0.018,0.0011,-0.0473,0.2453,0.0377,0.0122,0.0018,-0.0454,0.1203,0.0275,0.0263,0.0028,-0.2217,0.2768,0.0531
V19-18;#339;Ebene E - 2021-01-29 19.53.11.ndpi,PathCellObject,,PathAnnotationObject,Polygon,21052.2,3839,0.8514,13.4912,13.3572,0.9502,1,4.8127,3.622,157.488,44.6742,0.9916,1,14.7835,13.5776,0.0857,0.5055,0.5026,0.0802,0.9308,0.1754,0.0643,0.002,-0.1038,0.869,0.153,0.0599,0.0163,-0.043,0.4074,0.0914,0.1022,0.0048,-0.1038,0.9308,0.1983,0.2029,0.2636,-0.206,0.4433,0.1869,0.0605,0.0113,-0.1784,0.5321,0.0917,0.0832,0.0667,-0.057,0.3687,0.088,0.0728,0.0178,-0.206,0.5321,0.1108
V19-18;#339;Ebene E - 2021-01-29 19.53.11.ndpi,PathCellObject,,PathAnnotationObject,Polygon,21080.7,3811.7,0.8511,10.5859,12.1917,0.895,1,4.4056,3.2333,148.704,43.4931,0.9879,1,14.3999,13.1562,0.0712,0.3157,0.3204,0.0019,0.5914,0.1388,0.048,0.0052,-0.0862,0.4451,0.0865,0.0535,0.0169,-0.0482,0.4064,0.08,0.0671,0.0097,-0.0862,0.5914,0.1143,0.1598,0.1538,0.0237,0.3061,0.0587,0.068,0.0411,-0.0896,0.3039,0.0759,0.077,0.0601,-0.016,0.2597,0.0777,0.0746,0.0562,-0.0896,0.3061,0.0785
V19-18;#339;Ebene E - 2021-01-29 19.53.11.ndpi,PathCellObject,,PathAnnotationObject,Polygon,21158.5,3815,0.8458,12.1108,12.5842,0.961,1,4.2694,3.7645,152.2514,43.8975,0.9929,1,14.2601,13.7344,0.0795,0.5433,0.5707,0.0196,1.0646,0.225,0.0206,0.002,-0.1179,0.3459,0.0553,0.0161,0.0034,-0.095,0.2229,0.0507,0.0619,0.0041,-0.1179,1.0646,0.1632,0.1362,0.2164,-0.3438,0.5091,0.2222,0.0831,0.0746,-0.1784,0.5492,0.0816,0.0921,0.072,-0.052,0.3533,0.0845,0.0873,0.0777,-0.3438,0.5492,0.1011
V19-18;#339;Ebene E - 2021-01-29 19.53.11.ndpi,PathCellObject,,PathAnnotationObject,Polygon,21319.2,3628.8,0.843,18.4363,16.2032,0.8824,1,6.301,3.7156,176.7083,47.5191,0.9834,1,16.2909,13.6827,0.1043,0.2961,0.2946,0.0179,0.5354,0.088,0.0351,0.0078,-0.0313,0.3175,0.051,0.0347,0.0084,-0.0058,0.1553,0.0456,0.0623,0.0171,-0.0313,0.5354,0.0975,0.1041,0.1091,-0.0472,0.2574,0.0518,0.0228,0.0073,-0.0469,0.2313,0.0327,0.0238,0.0062,-0.013,0.122,0.033,0.0313,0.012,-0.0472,0.2574,0.0431
