Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Area µm^2,Perimeter µm
V19-18;#340;Ebene D - 2021-01-29 20.06.08.ndpi,PathAnnotationObject,,Image,Polygon,19558.5,4480.8,24,3130.6,486.01
V19-18;#340;Ebene D - 2021-01-29 20.06.08.ndpi,PathAnnotationObject,,Image,Polygon,23197.7,4257.1,58,9831.6,504.02
V19-18;#340;Ebene D - 2021-01-29 20.06.08.ndpi,PathAnnotationObject,,Image,Polygon,24719,3483.3,11,5053,460.8
V19-18;#340;Ebene D - 2021-01-29 20.06.08.ndpi,PathAnnotationObject,,Image,Geometry,24495.8,3619.3,7,3171.9,404.71
V19-18;#340;Ebene D - 2021-01-29 20.06.08.ndpi,PathAnnotationObject,,Image,Polygon,24310,3712.9,7,2474.1,394.04
V19-18;#340;Ebene D - 2021-01-29 20.06.08.ndpi,PathAnnotationObject,,Image,Geometry,22751.3,4080.4,23,14042.1,797.7
V19-18;#340;Ebene D - 2021-01-29 20.06.08.ndpi,PathAnnotationObject,,Image,Geometry,22159.9,4151.8,16,13967.5,724.52
V19-18;#340;Ebene D - 2021-01-29 20.06.08.ndpi,PathAnnotationObject,,Image,Polygon,21867,4184,35,14212.8,723.89
V19-18;#340;Ebene D - 2021-01-29 20.06.08.ndpi,PathAnnotationObject,,Image,Polygon,21301.1,4187,19,11288.6,518.67
V19-18;#340;Ebene D - 2021-01-29 20.06.08.ndpi,PathAnnotationObject,,Image,Polygon,20836.8,4169.4,12,10202.9,456.62
V19-18;#340;Ebene D - 2021-01-29 20.06.08.ndpi,PathAnnotationObject,,Image,Polygon,20550.4,4135,41,24408.8,811
V19-18;#340;Ebene D - 2021-01-29 20.06.08.ndpi,PathAnnotationObject,,Image,Geometry,20269.8,4136.8,22,11157.4,567.28
V19-18;#340;Ebene D - 2021-01-29 20.06.08.ndpi,PathAnnotationObject,,Image,Polygon,19153.8,3948,6,5006.2,424.11
V19-18;#340;Ebene D - 2021-01-29 20.06.08.ndpi,PathAnnotationObject,,Image,Geometry,24974.7,3462.7,33,3449.3,346.26
V19-18;#340;Ebene D - 2021-01-29 20.06.08.ndpi,PathAnnotationObject,,Image,Geometry,18795.2,4178.8,120,12272.7,957.4
V19-18;#340;Ebene D - 2021-01-29 20.06.08.ndpi,PathAnnotationObject,,Image,Geometry,19162.2,4348,32,8843.7,925.91
V19-18;#340;Ebene D - 2021-01-29 20.06.08.ndpi,PathAnnotationObject,,Image,Polygon,19392.8,4284,18,1572,160.8
V19-18;#340;Ebene D - 2021-01-29 20.06.08.ndpi,PathAnnotationObject,,Image,Polygon,19331.7,4264.5,17,1352.3,155.56
V19-18;#340;Ebene D - 2021-01-29 20.06.08.ndpi,PathAnnotationObject,,Image,Polygon,19456.7,4483,11,7957.6,723.27
V19-18;#340;Ebene D - 2021-01-29 20.06.08.ndpi,PathAnnotationObject,,Image,Polygon,19514.8,4329.3,109,12974.2,792.74
V19-18;#340;Ebene D - 2021-01-29 20.06.08.ndpi,PathAnnotationObject,,Image,Geometry,19783.1,4572.8,119,25375.2,1284.9
V19-18;#340;Ebene D - 2021-01-29 20.06.08.ndpi,PathAnnotationObject,,Image,Geometry,19691,4403,39,5651.9,500.23
V19-18;#340;Ebene D - 2021-01-29 20.06.08.ndpi,PathAnnotationObject,,Image,Geometry,20287.4,4626.2,24,7006.8,705.86
V19-18;#340;Ebene D - 2021-01-29 20.06.08.ndpi,PathAnnotationObject,,Image,Polygon,20133.2,4540.2,1,909.53,190.74
V19-18;#340;Ebene D - 2021-01-29 20.06.08.ndpi,PathAnnotationObject,,Image,Geometry,21130.7,4660.8,198,41076.3,1440.9
V19-18;#340;Ebene D - 2021-01-29 20.06.08.ndpi,PathAnnotationObject,,Image,Polygon,20702,4670.4,56,19355.5,1030.4
V19-18;#340;Ebene D - 2021-01-29 20.06.08.ndpi,PathAnnotationObject,,Image,Polygon,21572,4636.7,29,8681.5,669.64
V19-18;#340;Ebene D - 2021-01-29 20.06.08.ndpi,PathAnnotationObject,,Image,Polygon,21669.6,4536.1,14,1767.9,223.11
