Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Detection probability,Nucleus: Area µm^2,Nucleus: Length µm,Nucleus: Circularity,Nucleus: Solidity,Nucleus: Max diameter µm,Nucleus: Min diameter µm,Cell: Area µm^2,Cell: Length µm,Cell: Circularity,Cell: Solidity,Cell: Max diameter µm,Cell: Min diameter µm,Nucleus/Cell area ratio,Hematoxylin: Nucleus: Mean,Hematoxylin: Nucleus: Median,Hematoxylin: Nucleus: Min,Hematoxylin: Nucleus: Max,Hematoxylin: Nucleus: Std.Dev.,Hematoxylin: Cytoplasm: Mean,Hematoxylin: Cytoplasm: Median,Hematoxylin: Cytoplasm: Min,Hematoxylin: Cytoplasm: Max,Hematoxylin: Cytoplasm: Std.Dev.,Hematoxylin: Membrane: Mean,Hematoxylin: Membrane: Median,Hematoxylin: Membrane: Min,Hematoxylin: Membrane: Max,Hematoxylin: Membrane: Std.Dev.,Hematoxylin: Cell: Mean,Hematoxylin: Cell: Median,Hematoxylin: Cell: Min,Hematoxylin: Cell: Max,Hematoxylin: Cell: Std.Dev.,Eosin: Nucleus: Mean,Eosin: Nucleus: Median,Eosin: Nucleus: Min,Eosin: Nucleus: Max,Eosin: Nucleus: Std.Dev.,Eosin: Cytoplasm: Mean,Eosin: Cytoplasm: Median,Eosin: Cytoplasm: Min,Eosin: Cytoplasm: Max,Eosin: Cytoplasm: Std.Dev.,Eosin: Membrane: Mean,Eosin: Membrane: Median,Eosin: Membrane: Min,Eosin: Membrane: Max,Eosin: Membrane: Std.Dev.,Eosin: Cell: Mean,Eosin: Cell: Median,Eosin: Cell: Min,Eosin: Cell: Max,Eosin: Cell: Std.Dev.
V19-18;#341;Ebene D - 2021-01-29 20.16.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2374.4,5102,0.8517,22.0072,16.7895,0.9811,1,5.5597,5.0824,183.0731,48.1034,0.9942,1,15.5562,15.0346,0.1202,0.1552,0.1456,-0.0815,0.6257,0.1138,0.0905,0.0211,-0.1747,0.9604,0.1474,0.064,0.0091,-0.0669,0.6132,0.1173,0.0982,0.0411,-0.1747,0.9604,0.1454,0.2176,0.2406,-0.1332,0.3912,0.0908,0.0909,0.0627,-0.2787,0.542,0.1071,0.0726,0.0483,-0.103,0.3038,0.0777,0.1059,0.0871,-0.2787,0.542,0.113
V19-18;#341;Ebene D - 2021-01-29 20.16.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2381,5125.1,0.8481,8.0422,10.2567,0.9607,1,3.4691,3.1094,136.5898,41.5706,0.9932,1,13.4596,13.0681,0.0589,0.5843,0.5842,0.055,0.9226,0.2097,0.1085,0.0414,-0.0994,1.0127,0.1614,0.1712,0.0741,-0.0693,1.0127,0.2215,0.1366,0.0543,-0.0994,1.0127,0.1993,0.1522,0.1555,-0.0275,0.3389,0.0897,0.1085,0.1065,-0.1298,0.3601,0.083,0.0999,0.0941,-0.0591,0.2825,0.0734,0.1111,0.1091,-0.1298,0.3601,0.0841
V19-18;#341;Ebene D - 2021-01-29 20.16.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2350.6,5146.4,0.848,13.1916,13.1983,0.9516,1,4.6315,3.8674,156.3172,44.502,0.9919,1,14.6281,13.8397,0.0844,0.5993,0.6247,0.0115,1.0826,0.2237,0.1424,0.0653,-0.0916,1.0328,0.192,0.0883,0.0148,-0.0602,0.5832,0.1389,0.1811,0.0847,-0.0916,1.0826,0.2327,0.1289,0.1414,-0.3757,0.4171,0.1749,0.098,0.0738,-0.152,0.4691,0.1048,0.0788,0.0332,-0.0664,0.3207,0.093,0.1006,0.0774,-0.3757,0.4691,0.1127
V19-18;#341;Ebene D - 2021-01-29 20.16.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2362.4,5118.9,0.8294,7.3168,9.8713,0.9436,1,3.4544,2.7936,133.952,41.183,0.9925,1,13.4485,12.719,0.0546,0.5065,0.4994,0.1556,0.9758,0.1858,0.1056,0.0371,-0.1322,0.9274,0.1569,0.1317,0.0443,-0.0606,0.9274,0.1919,0.1272,0.0475,-0.1322,0.9758,0.1826,0.177,0.1745,-0.0118,0.4568,0.1058,0.1058,0.0884,-0.2163,0.5218,0.1058,0.0768,0.0403,-0.2163,0.3887,0.1036,0.1097,0.0924,-0.2163,0.5218,0.107
V19-18;#341;Ebene D - 2021-01-29 20.16.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2366.4,5128.1,0.817,10.334,12.0214,0.8986,1,4.4657,2.934,147.6319,43.3322,0.988,1,14.4472,12.8883,0.07,0.6939,0.7738,0.062,1.1036,0.2737,0.0595,0.0194,-0.1148,0.5023,0.0943,0.0493,0.0197,-0.0572,0.3288,0.0761,0.1031,0.0273,-0.1148,1.1036,0.1978,0.1637,0.1672,-0.0746,0.7139,0.1023,0.0831,0.0701,-0.1176,0.6165,0.0843,0.0837,0.0795,-0.0425,0.2293,0.0681,0.0887,0.0774,-0.1176,0.7139,0.0881
V19-18;#341;Ebene D - 2021-01-29 20.16.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2388,5045.3,0.8152,24.5994,18.6316,0.8905,1,7.1108,4.4088,194.8497,49.9348,0.982,1,17.1049,14.4069,0.1262,0.6519,0.6386,-0.0251,1.5271,0.3023,0.0939,0.0356,-0.1354,0.8128,0.1332,0.0772,0.0407,-0.0528,0.4556,0.0983,0.1644,0.0695,-0.1354,1.5271,0.2478,0.1933,0.2303,-0.4134,0.5222,0.1821,0.0735,0.0532,-0.3237,0.488,0.088,0.0791,0.0613,-0.0303,0.2702,0.0775,0.0886,0.0724,-0.4134,0.5222,0.1119
V19-18;#341;Ebene D - 2021-01-29 20.16.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2383.3,5161.8,0.8049,85.2883,36.7009,0.7957,0.9864,14.9702,7.216,345.9103,68.0065,0.9399,0.9974,24.9613,17.1944,0.2466,0.4801,0.4584,-0.0285,1.1435,0.1559,0.0603,0.0073,-0.1348,0.7538,0.1177,0.0579,0.0091,-0.0697,0.4232,0.0925,0.1641,0.0425,-0.1348,1.1435,0.2219,0.2343,0.2632,-0.2522,0.4518,0.1261,0.0759,0.0376,-0.2066,0.4949,0.0951,0.0566,0.02,-0.1266,0.2563,0.0745,0.1151,0.0837,-0.2522,0.4949,0.1241
V19-18;#341;Ebene D - 2021-01-29 20.16.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2354.9,5149.6,0.8018,12.6604,13.8166,0.8334,1,5.5308,2.9046,158.9353,45.125,0.9808,1,15.5257,12.8692,0.0797,0.5205,0.4903,0.1346,1.0328,0.1858,0.1601,0.0772,-0.1091,1.0826,0.2125,0.181,0.1331,-0.0548,0.7511,0.1926,0.1889,0.0996,-0.1091,1.0826,0.2321,0.1416,0.1552,-0.0502,0.4226,0.0952,0.1203,0.1092,-0.3831,0.4741,0.1072,0.078,0.0509,-0.1844,0.2914,0.0894,0.122,0.1115,-0.3831,0.4741,0.1064
V19-18;#341;Ebene D - 2021-01-29 20.16.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2350.6,5113.3,0.8006,9.0893,10.9839,0.9467,1,3.9047,3.0988,141.3365,42.3036,0.9925,1,13.8966,13.0525,0.0643,0.3642,0.3483,0.094,0.717,0.1333,0.0563,0.001,-0.1148,0.7296,0.1111,0.1011,0.0126,-0.0533,0.6576,0.1533,0.0764,0.0033,-0.1148,0.7296,0.1359,0.1773,0.2095,-0.0847,0.3647,0.109,0.0494,0.004,-0.1579,0.4809,0.0834,0.0672,0.0129,-0.1579,0.3792,0.1059,0.0577,0.0071,-0.1579,0.4809,0.091
V19-18;#341;Ebene D - 2021-01-29 20.16.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2388.7,5104.9,0.7982,10.5741,12.0409,0.9165,1,4.2258,3.2713,148.1106,43.3562,0.9901,1,14.2213,13.2142,0.0714,0.5014,0.4876,0.137,0.9392,0.1687,0.1254,0.0935,-0.1487,0.6736,0.1387,0.1362,0.0901,-0.1145,0.6725,0.1647,0.1524,0.11,-0.1487,0.9392,0.1712,0.1736,0.1827,-0.0806,0.3677,0.1023,0.1439,0.1443,-0.1623,0.4239,0.0905,0.1305,0.1285,-0.0306,0.4136,0.086,0.146,0.1477,-0.1623,0.4239,0.0917
