Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Detection probability,Nucleus: Area µm^2,Nucleus: Length µm,Nucleus: Circularity,Nucleus: Solidity,Nucleus: Max diameter µm,Nucleus: Min diameter µm,Cell: Area µm^2,Cell: Length µm,Cell: Circularity,Cell: Solidity,Cell: Max diameter µm,Cell: Min diameter µm,Nucleus/Cell area ratio,Hematoxylin: Nucleus: Mean,Hematoxylin: Nucleus: Median,Hematoxylin: Nucleus: Min,Hematoxylin: Nucleus: Max,Hematoxylin: Nucleus: Std.Dev.,Hematoxylin: Cytoplasm: Mean,Hematoxylin: Cytoplasm: Median,Hematoxylin: Cytoplasm: Min,Hematoxylin: Cytoplasm: Max,Hematoxylin: Cytoplasm: Std.Dev.,Hematoxylin: Membrane: Mean,Hematoxylin: Membrane: Median,Hematoxylin: Membrane: Min,Hematoxylin: Membrane: Max,Hematoxylin: Membrane: Std.Dev.,Hematoxylin: Cell: Mean,Hematoxylin: Cell: Median,Hematoxylin: Cell: Min,Hematoxylin: Cell: Max,Hematoxylin: Cell: Std.Dev.,Eosin: Nucleus: Mean,Eosin: Nucleus: Median,Eosin: Nucleus: Min,Eosin: Nucleus: Max,Eosin: Nucleus: Std.Dev.,Eosin: Cytoplasm: Mean,Eosin: Cytoplasm: Median,Eosin: Cytoplasm: Min,Eosin: Cytoplasm: Max,Eosin: Cytoplasm: Std.Dev.,Eosin: Membrane: Mean,Eosin: Membrane: Median,Eosin: Membrane: Min,Eosin: Membrane: Max,Eosin: Membrane: Std.Dev.,Eosin: Cell: Mean,Eosin: Cell: Median,Eosin: Cell: Min,Eosin: Cell: Max,Eosin: Cell: Std.Dev.
V19-22b;#408;Ebene C - 2021-01-29 15.27.16.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2482.8,2329.3,0.9228,204.0458,54.1564,0.8743,0.9954,21.4294,12.5102,551.6055,85.4206,0.95,0.9988,31.4256,22.4796,0.3699,0.1619,0.1398,-0.1561,0.5976,0.1639,0.0599,0,-0.1364,0.6787,0.1234,0.054,0.0002,-0.0944,0.6787,0.1146,0.0976,0.0039,-0.1561,0.6787,0.1482,0.1773,0.1684,-0.1109,0.684,0.1624,0.0665,0.0025,-0.1549,0.6069,0.1203,0.0686,0.0036,-0.0445,0.5698,0.1207,0.1075,0.0101,-0.1549,0.684,0.1475
V19-22b;#408;Ebene C - 2021-01-29 15.27.16.ndpi,PathCellObject,,PathAnnotationObject,Polygon,3613.9,2599.5,0.8961,27.074,18.743,0.9685,1,6.3207,5.4039,197.8344,50.0457,0.9926,1,16.2935,15.3756,0.1368,0.3299,0.3239,0.1098,0.5493,0.0653,0.063,0.0351,-0.0326,0.6174,0.0956,0.0826,0.0373,-0.0118,0.5399,0.1202,0.0995,0.0461,-0.0326,0.6174,0.13,0.326,0.3336,0.1407,0.4205,0.0477,0.0885,0.0773,-0.0343,0.4758,0.0832,0.1061,0.0656,-0.0016,0.4758,0.1158,0.1209,0.0899,-0.0343,0.4758,0.1138
V19-22b;#408;Ebene C - 2021-01-29 15.27.16.ndpi,PathCellObject,,PathAnnotationObject,Polygon,3499.3,2537.5,0.8904,19.6297,15.8669,0.9798,1,5.2881,4.8295,176.3015,47.1969,0.9946,1,15.2868,14.776,0.1113,0.4058,0.3748,0.1584,0.8039,0.1249,0.0669,0.0343,-0.0686,0.5589,0.0902,0.1219,0.0857,-0.0241,0.4849,0.1248,0.1047,0.0498,-0.0686,0.8039,0.1426,0.3385,0.3416,0.0229,0.5508,0.0893,0.0893,0.0688,-0.0287,0.5401,0.0895,0.1306,0.1146,-0.0141,0.3839,0.104,0.1171,0.0832,-0.0287,0.5508,0.1189
V19-22b;#408;Ebene C - 2021-01-29 15.27.16.ndpi,PathCellObject,,PathAnnotationObject,Polygon,3612.8,2521.4,0.8902,21.585,16.9536,0.9437,1,6.2235,4.5446,183.5046,48.2711,0.9897,1,16.2207,14.5321,0.1176,0.3393,0.3283,-0.0671,0.7533,0.1395,0.0039,0,-0.0453,0.3587,0.0221,0.0023,0,-0.0086,0.0253,0.0062,0.0437,0,-0.0671,0.7533,0.1204,0.3045,0.3273,-0.0555,0.5697,0.1204,0.0039,0,-0.0994,0.3768,0.0187,0.0016,0,-0.0133,0.0197,0.0046,0.0395,0.0005,-0.0994,0.5697,0.1071
V19-22b;#408;Ebene C - 2021-01-29 15.27.16.ndpi,PathCellObject,,PathAnnotationObject,Polygon,3499,2603.5,0.8832,20.2072,16.3694,0.9477,1,5.9027,4.5195,179.163,47.6753,0.9905,1,15.9013,14.4907,0.1128,0.2647,0.2625,0.0538,0.4639,0.0697,0.099,0.0563,-0.0416,0.4011,0.108,0.1169,0.0589,-0.0056,0.3852,0.1212,0.1177,0.0651,-0.0416,0.4639,0.1168,0.24,0.248,0.0071,0.3895,0.0581,0.1232,0.1005,-0.0077,0.3744,0.0882,0.1427,0.1193,-0.0077,0.3662,0.1054,0.1363,0.1085,-0.0077,0.3895,0.093
V19-22b;#408;Ebene C - 2021-01-29 15.27.16.ndpi,PathCellObject,,PathAnnotationObject,Polygon,3646.2,2555.9,0.8828,10.8789,11.9919,0.9507,1,4.2618,3.288,148.0491,43.3047,0.9921,1,14.2593,13.238,0.0735,0.2638,0.2592,0.1017,0.4216,0.0667,0.0906,0.0275,-0.0228,0.4587,0.1198,0.0654,0.002,-0.0121,0.4374,0.1144,0.1032,0.0438,-0.0228,0.4587,0.1251,0.2578,0.2512,0.1628,0.3855,0.0459,0.1079,0.0588,-0.0249,0.4993,0.1232,0.0743,0.0125,-0.0168,0.4244,0.117,0.1189,0.0764,-0.0249,0.4993,0.1255
V19-22b;#408;Ebene C - 2021-01-29 15.27.16.ndpi,PathCellObject,,PathAnnotationObject,Polygon,3528.2,2526.5,0.8824,16.7027,14.7035,0.9709,1,5.0971,4.287,167.3736,46.0115,0.9935,1,15.0791,14.2105,0.0998,0.3723,0.3836,0.085,0.6314,0.1007,0.1144,0.0653,-0.0657,0.5363,0.1322,0.1168,0.0461,-0.0301,0.5017,0.1412,0.1399,0.0869,-0.0657,0.6314,0.1506,0.3068,0.3214,0.0308,0.4609,0.0826,0.1403,0.112,-0.0229,0.4913,0.1214,0.1272,0.0902,-0.0207,0.3785,0.122,0.1569,0.1311,-0.0229,0.4913,0.1282
V19-22b;#408;Ebene C - 2021-01-29 15.27.16.ndpi,PathCellObject,,PathAnnotationObject,Polygon,3614.7,2580.5,0.8806,41.3017,23.1492,0.9685,1,8.0573,6.7799,233.9933,54.4659,0.9912,1,18.0555,16.7212,0.1765,0.3304,0.3479,0.1165,0.4726,0.073,0.0502,0.0027,-0.0316,0.5192,0.09,0.0679,0.0037,-0.0165,0.4929,0.1148,0.0994,0.0132,-0.0316,0.5192,0.1378,0.3311,0.3459,0.1295,0.4625,0.06,0.0649,0.0125,-0.0338,0.4851,0.0961,0.0811,0.0177,-0.0047,0.4851,0.1199,0.1117,0.0334,-0.0338,0.4851,0.136
V19-22b;#408;Ebene C - 2021-01-29 15.27.16.ndpi,PathCellObject,,PathAnnotationObject,Polygon,3530.4,2543,0.8805,28.407,20.0248,0.8902,0.9935,7.6072,4.917,205.4906,51.3159,0.9806,0.9994,17.5393,14.8699,0.1382,0.3286,0.3172,0.0325,0.6713,0.0903,0.0752,0.0379,-0.09,0.4836,0.0931,0.1126,0.0771,-0.0294,0.4516,0.1256,0.1102,0.0681,-0.09,0.6713,0.1274,0.2953,0.2914,0.1304,0.6112,0.0617,0.0877,0.0669,-0.035,0.4028,0.0876,0.1005,0.1013,-0.0323,0.3262,0.0961,0.1163,0.1018,-0.035,0.6112,0.1108
V19-22b;#408;Ebene C - 2021-01-29 15.27.16.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2442.5,2391.9,0.8801,16.3932,14.5629,0.9714,1,4.9674,4.1119,166.511,45.8839,0.9939,1,14.9659,14.1074,0.0985,0.3084,0.3071,0.0081,0.6221,0.1264,0.0901,0,-0.1557,0.7225,0.1541,0.112,0,-0.0121,0.5125,0.1665,0.112,0.0002,-0.1557,0.7225,0.1652,0.2067,0.241,-0.0714,0.5086,0.1723,0.0876,0,-0.1103,0.5525,0.1535,0.1094,0.0025,-0.0259,0.4836,0.1685,0.0995,0,-0.1103,0.5525,0.1595
