Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Detection probability,Nucleus: Area µm^2,Nucleus: Length µm,Nucleus: Circularity,Nucleus: Solidity,Nucleus: Max diameter µm,Nucleus: Min diameter µm,Cell: Area µm^2,Cell: Length µm,Cell: Circularity,Cell: Solidity,Cell: Max diameter µm,Cell: Min diameter µm,Nucleus/Cell area ratio,Hematoxylin: Nucleus: Mean,Hematoxylin: Nucleus: Median,Hematoxylin: Nucleus: Min,Hematoxylin: Nucleus: Max,Hematoxylin: Nucleus: Std.Dev.,Hematoxylin: Cytoplasm: Mean,Hematoxylin: Cytoplasm: Median,Hematoxylin: Cytoplasm: Min,Hematoxylin: Cytoplasm: Max,Hematoxylin: Cytoplasm: Std.Dev.,Hematoxylin: Membrane: Mean,Hematoxylin: Membrane: Median,Hematoxylin: Membrane: Min,Hematoxylin: Membrane: Max,Hematoxylin: Membrane: Std.Dev.,Hematoxylin: Cell: Mean,Hematoxylin: Cell: Median,Hematoxylin: Cell: Min,Hematoxylin: Cell: Max,Hematoxylin: Cell: Std.Dev.,Eosin: Nucleus: Mean,Eosin: Nucleus: Median,Eosin: Nucleus: Min,Eosin: Nucleus: Max,Eosin: Nucleus: Std.Dev.,Eosin: Cytoplasm: Mean,Eosin: Cytoplasm: Median,Eosin: Cytoplasm: Min,Eosin: Cytoplasm: Max,Eosin: Cytoplasm: Std.Dev.,Eosin: Membrane: Mean,Eosin: Membrane: Median,Eosin: Membrane: Min,Eosin: Membrane: Max,Eosin: Membrane: Std.Dev.,Eosin: Cell: Mean,Eosin: Cell: Median,Eosin: Cell: Min,Eosin: Cell: Max,Eosin: Cell: Std.Dev.
V19-22b;#411;Ebene E - 2021-01-29 16.02.23.ndpi,PathCellObject,,PathAnnotationObject,Polygon,22980.5,3796.4,0.8993,20.4448,16.5776,0.9349,1,6.2057,4.2147,180.2678,47.8729,0.9884,1,16.1675,14.1307,0.1134,0.3901,0.3833,0.0864,0.8319,0.1529,0.0387,0.0101,-0.0636,0.752,0.0735,0.0205,0.0037,-0.0532,0.1639,0.0436,0.0787,0.0185,-0.0636,0.8319,0.1411,0.193,0.1935,-0.1469,0.3736,0.0746,0.1035,0.1148,-0.1208,0.2967,0.0727,0.0945,0.1079,-0.0128,0.2406,0.0727,0.1137,0.1251,-0.1469,0.3736,0.0783
V19-22b;#411;Ebene E - 2021-01-29 16.02.23.ndpi,PathCellObject,,PathAnnotationObject,Polygon,23557.9,3913.5,0.8992,15.1482,14.0821,0.9599,1,4.8875,3.9589,162.897,45.4091,0.9927,1,14.884,13.9002,0.093,0.4732,0.5472,0.0009,0.9292,0.2143,0.0703,0.0193,-0.0845,1.1962,0.1526,0.1328,0.0579,-0.0721,0.9677,0.2172,0.1084,0.0308,-0.0845,1.1962,0.1983,0.257,0.3035,-0.05,0.4735,0.1352,0.1324,0.1326,-0.3376,0.5805,0.0937,0.1642,0.1674,-0.115,0.5805,0.1086,0.1441,0.1404,-0.3376,0.5805,0.1049
V19-22b;#411;Ebene E - 2021-01-29 16.02.23.ndpi,PathCellObject,,PathAnnotationObject,Polygon,22920.3,3778.8,0.8933,16.0704,14.4728,0.9641,1,4.9511,4.2657,165.6939,45.7937,0.9929,1,14.9478,14.2239,0.097,0.5567,0.5562,-0.0454,1.4444,0.2509,0.0557,0.0247,-0.0957,1.1286,0.0976,0.0466,0.0201,-0.0436,0.2567,0.0681,0.1042,0.0335,-0.0957,1.4444,0.1914,0.1861,0.2719,-0.4008,0.4589,0.211,0.1078,0.114,-0.2083,0.5322,0.0859,0.1164,0.1097,0,0.3001,0.0651,0.1154,0.1182,-0.4008,0.5322,0.1073
V19-22b;#411;Ebene E - 2021-01-29 16.02.23.ndpi,PathCellObject,,PathAnnotationObject,Polygon,23563.9,3918,0.8921,10.8857,11.9435,0.959,1,4.1454,3.3663,147.8762,43.2628,0.9928,1,14.1402,13.3097,0.0736,0.5906,0.6082,0.123,1.2005,0.2459,0.0501,0.021,-0.0917,0.6889,0.1035,0.0722,0.0321,-0.0672,0.6635,0.1444,0.0896,0.0277,-0.0917,1.2005,0.1847,0.2765,0.3311,-0.3554,0.6102,0.2162,0.1693,0.1735,-0.1157,0.4879,0.0851,0.167,0.1615,0,0.4461,0.0914,0.1772,0.1766,-0.3554,0.6102,0.1043
V19-22b;#411;Ebene E - 2021-01-29 16.02.23.ndpi,PathCellObject,,PathAnnotationObject,Polygon,21221,3606.2,0.8914,14.6658,15.1481,0.8032,0.9859,6.001,3.2929,167.611,46.4518,0.9761,0.999,15.9979,13.2645,0.0875,0.2966,0.238,-0.0405,0.9144,0.279,0.0397,0.0076,-0.0664,0.7231,0.0848,0.037,0.0035,-0.0484,0.3768,0.0759,0.0622,0.0108,-0.0664,0.9144,0.1365,0.229,0.2209,0.0431,0.4579,0.0794,0.141,0.1463,-0.0856,0.3441,0.0771,0.1064,0.1165,-0.0856,0.3219,0.0842,0.1487,0.1527,-0.0856,0.4579,0.0812
V19-22b;#411;Ebene E - 2021-01-29 16.02.23.ndpi,PathCellObject,,PathAnnotationObject,Polygon,23279.2,3879,0.8885,13.7316,13.454,0.9533,1,4.8457,3.7065,158.3088,44.776,0.9923,1,14.8188,13.6171,0.0868,0.591,0.612,-0.0024,1.0091,0.2389,0.0481,0.0212,-0.0564,0.6235,0.0726,0.0305,0.0057,-0.0441,0.3029,0.0663,0.0956,0.03,-0.0564,1.0091,0.1825,0.2916,0.3174,-0.0003,0.54,0.142,0.1432,0.1437,-0.0165,0.4088,0.0853,0.1539,0.1442,0,0.331,0.0677,0.1562,0.1481,-0.0165,0.54,0.1008
V19-22b;#411;Ebene E - 2021-01-29 16.02.23.ndpi,PathCellObject,,PathAnnotationObject,Polygon,21335.8,3688.6,0.8863,15.7359,14.4502,0.947,1,5.2794,3.9536,165.1844,45.768,0.991,1,15.2602,13.8915,0.0953,0.4137,0.3844,0,1.1551,0.2202,0.0363,0.0061,-0.0903,0.3872,0.0735,0.0149,0.0023,-0.0705,0.1767,0.049,0.072,0.0125,-0.0903,1.1551,0.1473,0.2326,0.3039,-0.2209,0.6088,0.213,0.1512,0.1589,-0.0608,0.4254,0.0938,0.1481,0.1444,0.026,0.3011,0.0622,0.1589,0.1639,-0.2209,0.6088,0.1132
V19-22b;#411;Ebene E - 2021-01-29 16.02.23.ndpi,PathCellObject,,PathAnnotationObject,Polygon,24481.3,3996.2,0.8847,13.0926,12.9999,0.9735,1,4.4212,3.7025,155.47,44.3251,0.9944,1,14.4196,13.6646,0.0842,0.2671,0.2535,0.0032,0.6158,0.1229,0.0177,0,-0.0953,0.3362,0.0515,0.0216,0.0002,-0.0439,0.2383,0.0465,0.0386,0,-0.0953,0.6158,0.092,0.1451,0.2056,-0.2228,0.3927,0.157,0.0473,0.0013,-0.0996,0.4164,0.0902,0.0494,0.0026,-0.0506,0.3447,0.0931,0.0555,0.0024,-0.2228,0.4164,0.1012
V19-22b;#411;Ebene E - 2021-01-29 16.02.23.ndpi,PathCellObject,,PathAnnotationObject,Polygon,23675.3,3891.5,0.8842,11.2926,12.5408,0.9023,1,4.7297,3.1516,151.375,43.8634,0.9887,1,14.7132,13.0853,0.0746,0.4282,0.4253,0.0054,0.8275,0.1916,0.0752,0.0054,-0.1172,1.3256,0.1627,0.0716,0.0003,-0.0903,0.6958,0.1522,0.1011,0.0133,-0.1172,1.3256,0.1889,0.189,0.1827,-0.0732,0.445,0.1402,0.1398,0.1408,-0.0927,0.5088,0.1189,0.112,0.041,-0.0927,0.4928,0.1319,0.1435,0.1431,-0.0927,0.5088,0.1213
V19-22b;#411;Ebene E - 2021-01-29 16.02.23.ndpi,PathCellObject,,PathAnnotationObject,Polygon,22406.7,3687.4,0.8836,10.2271,11.5958,0.9558,1,3.9797,3.4591,145.3778,42.902,0.9926,1,13.9717,13.4218,0.0703,0.3003,0.3201,-0.0059,0.5774,0.1085,0.0502,0.0194,-0.0605,0.8108,0.0946,0.0895,0.0343,-0.0494,0.8108,0.1576,0.0681,0.0266,-0.0605,0.8108,0.1153,0.228,0.2384,0.0665,0.3437,0.0496,0.174,0.1888,0,0.3583,0.07,0.1703,0.1861,0,0.3583,0.0716,0.1778,0.1919,0,0.3583,0.0702
