Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Area µm^2,Perimeter µm
V19-22b;#412;Ebene C - 2021-01-29 15.32.25.ndpi,PathAnnotationObject,,Image,Polygon,21493.2,2262.6,231,52785.3,2131.1
V19-22b;#412;Ebene C - 2021-01-29 15.32.25.ndpi,PathAnnotationObject,,Image,Polygon,17076.8,2208.7,242,44012.6,2539.3
V19-22b;#412;Ebene C - 2021-01-29 15.32.25.ndpi,PathAnnotationObject,,Image,Polygon,16410,2576.8,155,26848.8,1418.3
V19-22b;#412;Ebene C - 2021-01-29 15.32.25.ndpi,PathAnnotationObject,,Image,Polygon,17710.2,1866.1,175,23370.3,1376.8
V19-22b;#412;Ebene C - 2021-01-29 15.32.25.ndpi,PathAnnotationObject,,Image,Polygon,19881.8,1671.6,61,19495.5,710.41
V19-22b;#412;Ebene C - 2021-01-29 15.32.25.ndpi,PathAnnotationObject,,Image,Polygon,18557.6,1633.9,74,16313.1,764.01
V19-22b;#412;Ebene C - 2021-01-29 15.32.25.ndpi,PathAnnotationObject,,Image,Polygon,19372.7,1648.9,57,15878.6,726.85
V19-22b;#412;Ebene C - 2021-01-29 15.32.25.ndpi,PathAnnotationObject,,Image,Polygon,20299.9,1654.4,71,15798.2,749.29
V19-22b;#412;Ebene C - 2021-01-29 15.32.25.ndpi,PathAnnotationObject,,Image,Polygon,19107.4,1680.8,58,14484.4,598.42
V19-22b;#412;Ebene C - 2021-01-29 15.32.25.ndpi,PathAnnotationObject,,Image,Polygon,20586.2,1699.8,75,13941.4,694.3
V19-22b;#412;Ebene C - 2021-01-29 15.32.25.ndpi,PathAnnotationObject,,Image,Polygon,19640.1,1646.7,42,13681.5,606.63
V19-22b;#412;Ebene C - 2021-01-29 15.32.25.ndpi,ColorDeconvolution,ColorDeconvolution,Image,Rectangle,19094.3,1671.1,46,12644.6,493.5
V19-22b;#412;Ebene C - 2021-01-29 15.32.25.ndpi,PathAnnotationObject,,Image,Polygon,20818.3,1833.2,64,12318.7,635.42
V19-22b;#412;Ebene C - 2021-01-29 15.32.25.ndpi,PathAnnotationObject,,Image,Polygon,18881.6,1648.2,41,11142.1,535.14
V19-22b;#412;Ebene C - 2021-01-29 15.32.25.ndpi,PathAnnotationObject,,Image,Polygon,22546.8,1495.3,91,10835.8,1267.9
V19-22b;#412;Ebene C - 2021-01-29 15.32.25.ndpi,PathAnnotationObject,,Image,Polygon,18294,1707.5,30,10028.6,631.74
V19-22b;#412;Ebene C - 2021-01-29 15.32.25.ndpi,PathAnnotationObject,,Image,Polygon,17922.3,1182,57,9795.5,729.78
V19-22b;#412;Ebene C - 2021-01-29 15.32.25.ndpi,PathAnnotationObject,,Image,Polygon,18051.9,1761.4,38,8557.1,499.51
V19-22b;#412;Ebene C - 2021-01-29 15.32.25.ndpi,PathAnnotationObject,,Image,Polygon,21023.4,1931.4,16,6473.9,461.72
V19-22b;#412;Ebene C - 2021-01-29 15.32.25.ndpi,PathAnnotationObject,,Image,Polygon,16512,1615.1,28,6058.1,461.39
V19-22b;#412;Ebene C - 2021-01-29 15.32.25.ndpi,PathAnnotationObject,,Image,Polygon,17377.4,1070.3,21,4260.8,348.75
V19-22b;#412;Ebene C - 2021-01-29 15.32.25.ndpi,PathAnnotationObject,,Image,Polygon,16179.6,2502,17,3703.9,436.15
V19-22b;#412;Ebene C - 2021-01-29 15.32.25.ndpi,PathAnnotationObject,,Image,Polygon,22157.2,1521.5,24,3682.8,414.36
V19-22b;#412;Ebene C - 2021-01-29 15.32.25.ndpi,PathAnnotationObject,,Image,Polygon,17279.9,1050.5,15,3440.1,361.98
V19-22b;#412;Ebene C - 2021-01-29 15.32.25.ndpi,PathAnnotationObject,,Image,Polygon,19540.8,1371.5,22,2766,264.75
V19-22b;#412;Ebene C - 2021-01-29 15.32.25.ndpi,PathAnnotationObject,,Image,Polygon,18736.7,1621.2,12,2524.4,216.48
V19-22b;#412;Ebene C - 2021-01-29 15.32.25.ndpi,PathAnnotationObject,,Image,Polygon,21159.2,1361.5,19,1948.8,347.9
V19-22b;#412;Ebene C - 2021-01-29 15.32.25.ndpi,PathAnnotationObject,,Image,Polygon,19632.2,1402.5,10,1173,202.53
V19-22b;#412;Ebene C - 2021-01-29 15.32.25.ndpi,PathAnnotationObject,,Image,Polygon,19563.6,1394.4,8,373.3,84.58
V19-22b;#412;Ebene C - 2021-01-29 15.32.25.ndpi,PathAnnotationObject,,Image,Polygon,21287.4,2031.3,1,88.79,34.94
V19-22b;#412;Ebene C - 2021-01-29 15.32.25.ndpi,PathAnnotationObject,,Image,Polygon,16300.5,2399.9,2,85.82,40.77
