Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Detection probability,Nucleus: Area µm^2,Nucleus: Length µm,Nucleus: Circularity,Nucleus: Solidity,Nucleus: Max diameter µm,Nucleus: Min diameter µm,Cell: Area µm^2,Cell: Length µm,Cell: Circularity,Cell: Solidity,Cell: Max diameter µm,Cell: Min diameter µm,Nucleus/Cell area ratio,Hematoxylin: Nucleus: Mean,Hematoxylin: Nucleus: Median,Hematoxylin: Nucleus: Min,Hematoxylin: Nucleus: Max,Hematoxylin: Nucleus: Std.Dev.,Hematoxylin: Cytoplasm: Mean,Hematoxylin: Cytoplasm: Median,Hematoxylin: Cytoplasm: Min,Hematoxylin: Cytoplasm: Max,Hematoxylin: Cytoplasm: Std.Dev.,Hematoxylin: Membrane: Mean,Hematoxylin: Membrane: Median,Hematoxylin: Membrane: Min,Hematoxylin: Membrane: Max,Hematoxylin: Membrane: Std.Dev.,Hematoxylin: Cell: Mean,Hematoxylin: Cell: Median,Hematoxylin: Cell: Min,Hematoxylin: Cell: Max,Hematoxylin: Cell: Std.Dev.,Eosin: Nucleus: Mean,Eosin: Nucleus: Median,Eosin: Nucleus: Min,Eosin: Nucleus: Max,Eosin: Nucleus: Std.Dev.,Eosin: Cytoplasm: Mean,Eosin: Cytoplasm: Median,Eosin: Cytoplasm: Min,Eosin: Cytoplasm: Max,Eosin: Cytoplasm: Std.Dev.,Eosin: Membrane: Mean,Eosin: Membrane: Median,Eosin: Membrane: Min,Eosin: Membrane: Max,Eosin: Membrane: Std.Dev.,Eosin: Cell: Mean,Eosin: Cell: Median,Eosin: Cell: Min,Eosin: Cell: Max,Eosin: Cell: Std.Dev.
V19-22b;#412;Ebene D - 2021-01-29 15.56.32.ndpi,PathCellObject,,PathAnnotationObject,Polygon,4017.5,2458.8,0.8492,8.1179,10.2958,0.9623,1,3.5374,3.071,136.8855,41.6084,0.9936,1,13.5361,13.0452,0.0593,0.4992,0.5247,0.0527,0.8686,0.1993,0.0387,0.014,-0.1884,0.7459,0.0801,0.076,0.0418,-0.0887,0.7459,0.122,0.0651,0.0183,-0.1884,0.8686,0.1406,0.2574,0.2389,-0.2773,0.8431,0.2866,0.1105,0.0975,-0.0657,0.733,0.0952,0.132,0.1147,-0.0005,0.461,0.1044,0.1189,0.0995,-0.2773,0.8431,0.12
V19-22b;#412;Ebene D - 2021-01-29 15.56.32.ndpi,PathCellObject,,PathAnnotationObject,Polygon,4016.4,2465.7,0.8306,11.4054,12.3955,0.9328,1,4.5579,3.2838,150.6624,43.7139,0.9908,1,14.5501,13.2414,0.0757,0.3421,0.3013,0.1087,0.9842,0.1819,0.0813,0.0383,-0.1719,0.8686,0.1361,0.101,0.0108,-0.1625,0.8686,0.2093,0.101,0.0512,-0.1719,0.9842,0.1561,0.2088,0.2198,-0.0973,0.4785,0.1314,0.1433,0.1372,-0.2546,0.8548,0.1117,0.148,0.1243,-0.2546,0.7365,0.1548,0.1482,0.141,-0.2546,0.8548,0.1146
V19-22b;#412;Ebene D - 2021-01-29 15.56.32.ndpi,PathCellObject,,PathAnnotationObject,Polygon,4127.5,2469.6,0.8263,10.9574,12.6715,0.8575,1,4.9999,2.7706,151.347,43.9673,0.9838,1,14.9933,12.7408,0.0724,0.3956,0.387,-0.0522,0.848,0.223,0.0265,0.0057,-0.2165,0.3533,0.0621,0.0331,0.0005,-0.112,0.3506,0.0845,0.0532,0.0124,-0.2165,0.848,0.1276,0.1633,0.2034,-0.3489,0.6316,0.2238,0.0636,0.0425,-0.0972,0.4646,0.0789,0.0637,0.0431,-0.0972,0.386,0.084,0.0708,0.0445,-0.3489,0.6316,0.1002
V19-22b;#412;Ebene D - 2021-01-29 15.56.32.ndpi,PathCellObject,,PathAnnotationObject,Polygon,4110.6,2465.8,0.8231,10.0792,11.7909,0.911,1,4.3866,2.9495,146.3472,43.1057,0.9897,1,14.3771,12.9052,0.0689,0.2341,0.2349,-0.1414,0.4372,0.0981,0.1058,0.0472,-0.3059,1.1417,0.1761,0.1366,0.0853,-0.0139,1.1217,0.1854,0.1146,0.0595,-0.3059,1.1417,0.1749,0.171,0.1777,-0.1403,0.4912,0.1227,0.1029,0.0712,-0.2885,0.8279,0.1242,0.1087,0.0723,-0.23,0.5528,0.1269,0.1076,0.0796,-0.2885,0.8279,0.1253
V19-22b;#412;Ebene D - 2021-01-29 15.56.32.ndpi,PathCellObject,,PathAnnotationObject,Polygon,4028.8,2475.6,0.8089,18.4114,17.2499,0.7775,0.99,7.0874,3.4543,181.7478,48.5456,0.9691,0.9992,17.0561,13.4171,0.1013,0.6291,0.6333,0.1257,1.1499,0.2449,0.0472,0.0005,-0.2125,0.6755,0.1087,0.0481,0.0002,-0.0877,0.3035,0.0827,0.1056,0.0039,-0.2125,1.1499,0.2173,0.323,0.3396,-0.1101,0.7664,0.2326,0.0774,0.0419,-0.1283,0.7462,0.1024,0.0699,0.0288,-0.0664,0.3499,0.0873,0.102,0.0511,-0.1283,0.7664,0.1425
V19-22b;#412;Ebene D - 2021-01-29 15.56.32.ndpi,PathCellObject,,PathAnnotationObject,Polygon,4105.3,2464,0.7905,7.2411,9.8967,0.929,1,3.6544,2.5724,133.9806,41.2039,0.9917,1,13.6506,12.5517,0.054,0.4371,0.4015,-0.0827,0.9864,0.2397,0.0619,0.0165,-0.3053,0.5083,0.1066,0.07,0.007,-0.081,0.4639,0.1064,0.0823,0.0263,-0.3053,0.9864,0.1452,0.1723,0.1119,-0.1324,0.8276,0.1966,0.0912,0.0679,-0.1422,0.8086,0.1065,0.0861,0.0404,-0.0835,0.3507,0.1031,0.0956,0.0711,-0.1422,0.8276,0.1147
V19-22b;#412;Ebene D - 2021-01-29 15.56.32.ndpi,PathCellObject,,PathAnnotationObject,Polygon,4041,2474.9,0.7839,19.7006,16.4215,0.918,1,6.2189,4.1031,178.7946,47.7185,0.9867,1,16.2134,14.0576,0.1102,0.0818,0.0737,-0.0362,0.2069,0.0494,0.037,0,-0.1914,0.4702,0.0848,0.035,0,-0.1045,0.2704,0.07,0.0419,0.0039,-0.1914,0.4702,0.0828,0.1276,0.135,-0.0123,0.2672,0.0539,0.0806,0.0383,-0.1301,0.4922,0.0997,0.0409,0.001,-0.0819,0.3084,0.0703,0.0858,0.0645,-0.1301,0.4922,0.0969
V19-22b;#412;Ebene D - 2021-01-29 15.56.32.ndpi,PathCellObject,,PathAnnotationObject,Polygon,3976,2470.1,0.7689,10.4313,12.0435,0.9037,1,4.5851,2.9184,147.973,43.3646,0.9888,1,14.5848,12.8833,0.0705,0.4039,0.3295,0.0082,1.2038,0.2845,0.0868,0.058,-0.1212,0.7614,0.1178,0.071,0.0483,-0.0526,0.3595,0.0863,0.1093,0.0642,-0.1212,1.2038,0.159,0.2635,0.2173,0.024,0.7649,0.1629,0.1131,0.1063,-0.1447,0.4853,0.0947,0.1001,0.1025,-0.0112,0.3421,0.0802,0.1238,0.114,-0.1447,0.7649,0.1082
V19-22b;#412;Ebene D - 2021-01-29 15.56.32.ndpi,PathCellObject,,PathAnnotationObject,Polygon,4018.4,2469.6,0.7537,9.2544,11.4366,0.8891,1,4.4257,2.7855,143.921,42.7686,0.9887,1,14.4177,12.7285,0.0643,0.2792,0.2756,0.0411,0.4804,0.1074,0.0974,0.0636,-0.1519,0.9858,0.136,0.0851,0.0583,-0.0722,0.4851,0.0976,0.109,0.0745,-0.1519,0.9858,0.1415,0.16,0.1457,0.0396,0.3967,0.0659,0.1384,0.1309,-0.1175,0.4772,0.0927,0.1229,0.127,-0.0425,0.3399,0.0662,0.1398,0.1322,-0.1175,0.4772,0.0913
V19-22b;#412;Ebene D - 2021-01-29 15.56.32.ndpi,PathCellObject,,PathAnnotationObject,Polygon,3984.8,2444.9,0.741,13.2112,15.6137,0.681,0.978,6.7332,2.5842,168.3835,46.8802,0.9628,0.9994,16.7247,12.5479,0.0785,0.5464,0.5569,0.0807,1.0078,0.2201,0.0328,0.0096,-0.1043,0.3803,0.0596,0.0417,0.0312,-0.1043,0.1798,0.0569,0.073,0.0164,-0.1043,1.0078,0.1615,0.2878,0.2832,-0.0005,0.67,0.1775,0.0921,0.0851,-0.0844,0.4363,0.0787,0.1022,0.0897,-0.0181,0.2807,0.0777,0.1074,0.09,-0.0844,0.67,0.1045
