Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Detection probability,Nucleus: Area µm^2,Nucleus: Length µm,Nucleus: Circularity,Nucleus: Solidity,Nucleus: Max diameter µm,Nucleus: Min diameter µm,Cell: Area µm^2,Cell: Length µm,Cell: Circularity,Cell: Solidity,Cell: Max diameter µm,Cell: Min diameter µm,Nucleus/Cell area ratio,Hematoxylin: Nucleus: Mean,Hematoxylin: Nucleus: Median,Hematoxylin: Nucleus: Min,Hematoxylin: Nucleus: Max,Hematoxylin: Nucleus: Std.Dev.,Hematoxylin: Cytoplasm: Mean,Hematoxylin: Cytoplasm: Median,Hematoxylin: Cytoplasm: Min,Hematoxylin: Cytoplasm: Max,Hematoxylin: Cytoplasm: Std.Dev.,Hematoxylin: Membrane: Mean,Hematoxylin: Membrane: Median,Hematoxylin: Membrane: Min,Hematoxylin: Membrane: Max,Hematoxylin: Membrane: Std.Dev.,Hematoxylin: Cell: Mean,Hematoxylin: Cell: Median,Hematoxylin: Cell: Min,Hematoxylin: Cell: Max,Hematoxylin: Cell: Std.Dev.,Eosin: Nucleus: Mean,Eosin: Nucleus: Median,Eosin: Nucleus: Min,Eosin: Nucleus: Max,Eosin: Nucleus: Std.Dev.,Eosin: Cytoplasm: Mean,Eosin: Cytoplasm: Median,Eosin: Cytoplasm: Min,Eosin: Cytoplasm: Max,Eosin: Cytoplasm: Std.Dev.,Eosin: Membrane: Mean,Eosin: Membrane: Median,Eosin: Membrane: Min,Eosin: Membrane: Max,Eosin: Membrane: Std.Dev.,Eosin: Cell: Mean,Eosin: Cell: Median,Eosin: Cell: Min,Eosin: Cell: Max,Eosin: Cell: Std.Dev.
V20-09 A;#103;Ebene C - 2021-01-29 17.02.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,26974.3,3188.6,0.8998,28.205,19.1786,0.9636,1,6.7859,5.4698,201.1872,50.4957,0.9915,1,16.7733,15.4094,0.1402,0.5557,0.5441,0.1766,0.9968,0.1649,0.1051,0.0382,-0.081,1.0568,0.1632,0.1078,0.0494,-0.0468,0.6787,0.1451,0.168,0.0641,-0.081,1.0568,0.226,0.3292,0.3368,-0.0218,0.572,0.1155,0.0964,0.0621,-0.1012,0.5429,0.1119,0.1083,0.0858,-0.092,0.3898,0.105,0.1289,0.0826,-0.1012,0.572,0.1384
V20-09 A;#103;Ebene C - 2021-01-29 17.02.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,26748.6,2926.5,0.896,18.7974,16.1319,0.9077,1,6.0401,4.095,176.5731,47.4445,0.9857,1,16.0224,14.0442,0.1065,0.4618,0.4228,0.1384,0.8874,0.1508,0.0426,0.0165,-0.0377,0.5103,0.0668,0.0365,0.01,-0.0374,0.3312,0.0596,0.0872,0.0258,-0.0377,0.8874,0.1521,0.2535,0.2659,-0.1038,0.5787,0.1162,0.0605,0.0485,-0.0847,0.2834,0.0586,0.0533,0.0377,-0.0224,0.1931,0.0556,0.081,0.0579,-0.1038,0.5787,0.0897
V20-09 A;#103;Ebene C - 2021-01-29 17.02.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,27051.3,3319.4,0.893,51.6121,25.7234,0.9802,1,8.6238,7.8484,256.9918,57.0254,0.9931,1,18.6084,17.7988,0.2008,0.3459,0.346,0.0449,0.8461,0.123,0.0855,0.0468,-0.1003,0.8437,0.1287,0.137,0.0968,-0.0466,0.705,0.1602,0.1379,0.0812,-0.1003,0.8461,0.1649,0.1818,0.1834,-0.0933,0.4057,0.0868,0.0778,0.0601,-0.1456,0.539,0.0865,0.1211,0.1119,-0.0432,0.4569,0.1127,0.0988,0.0844,-0.1456,0.539,0.0961
V20-09 A;#103;Ebene C - 2021-01-29 17.02.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,26591.7,2928.5,0.892,22.1288,16.8503,0.9794,1,5.727,4.9494,183.3905,48.157,0.9937,1,15.7144,14.9162,0.1207,0.337,0.3257,0.0418,0.7656,0.1435,0.0782,0.0368,-0.0252,0.672,0.1089,0.1206,0.0878,-0.0171,0.6269,0.1216,0.1098,0.0511,-0.0252,0.7656,0.1418,0.194,0.1951,-0.0587,0.3721,0.0672,0.0727,0.0597,-0.0579,0.319,0.0662,0.1039,0.0913,-0.0422,0.291,0.0708,0.0875,0.0704,-0.0587,0.3721,0.0773
V20-09 A;#103;Ebene C - 2021-01-29 17.02.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,26677.5,2983.3,0.8896,23.4617,17.4921,0.9636,1,6.2687,4.8716,187.9417,48.7975,0.9918,1,16.2424,14.8027,0.1248,0.3563,0.3283,0.0715,0.7261,0.137,0.0678,0.0504,-0.0234,0.3734,0.0714,0.0931,0.0849,-0.0141,0.3356,0.0763,0.1034,0.0659,-0.0234,0.7261,0.1257,0.1835,0.2007,-0.0845,0.3295,0.0811,0.0758,0.0734,-0.0806,0.2617,0.0572,0.0926,0.0928,0,0.2089,0.0539,0.0891,0.0826,-0.0845,0.3295,0.0702
V20-09 A;#103;Ebene C - 2021-01-29 17.02.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,26589.2,2828.1,0.8885,19.9887,16.0799,0.9715,1,5.5476,4.7573,177.651,47.4054,0.9934,1,15.5465,14.7026,0.1125,0.3763,0.3506,0.134,0.7359,0.1146,0.0956,0.0456,-0.0193,0.8264,0.1282,0.1227,0.0759,-0.0092,0.5716,0.137,0.1275,0.064,-0.0193,0.8264,0.1549,0.2212,0.2219,0.0609,0.3686,0.0538,0.0757,0.059,-0.0056,0.382,0.0681,0.0945,0.0757,0,0.3038,0.0762,0.0922,0.0699,-0.0056,0.382,0.0811
V20-09 A;#103;Ebene C - 2021-01-29 17.02.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,26918.1,3214.6,0.8879,38.5248,22.7379,0.9364,1,8.5466,5.8886,229.2925,54.0508,0.9863,1,18.5003,15.8603,0.168,0.3913,0.3635,0.0987,0.8321,0.1573,0.0965,0.0328,-0.0792,0.8784,0.1494,0.1634,0.136,-0.0511,0.6959,0.1526,0.146,0.0687,-0.0792,0.8784,0.1867,0.2055,0.2126,-0.0552,0.4263,0.0916,0.072,0.0345,-0.1804,0.4317,0.0986,0.1203,0.1075,-0.0978,0.3877,0.1021,0.0944,0.0605,-0.1804,0.4317,0.1095
V20-09 A;#103;Ebene C - 2021-01-29 17.02.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,27023.8,3239.1,0.8876,15.1044,13.9818,0.9709,1,4.7078,4.2666,161.9884,45.274,0.9931,1,14.6949,14.217,0.0932,0.4586,0.4308,0.0541,1.0435,0.1907,0.1316,0.0546,-0.1139,0.8163,0.17,0.125,0.0561,-0.0337,0.7759,0.1649,0.1623,0.082,-0.1139,1.0435,0.1966,0.1823,0.2143,-0.2341,0.548,0.1721,0.1001,0.0734,-0.1734,0.4988,0.1062,0.0998,0.0668,-0.1734,0.4441,0.1135,0.1078,0.0844,-0.2341,0.548,0.1165
V20-09 A;#103;Ebene C - 2021-01-29 17.02.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,26953.5,3120,0.887,19.2225,15.7226,0.9772,1,5.4326,4.6876,175.1074,47.0448,0.9942,1,15.4254,14.6264,0.1098,0.5844,0.575,0.149,1.0598,0.1979,0.0742,0.0003,-0.1242,0.709,0.1318,0.1295,0.0383,-0.1112,0.6366,0.1804,0.1302,0.0065,-0.1242,1.0598,0.2126,0.2219,0.2759,-0.1539,0.5597,0.1769,0.0602,0.0087,-0.1802,0.5035,0.0993,0.111,0.029,-0.1611,0.5035,0.1434,0.0779,0.0134,-0.1802,0.5597,0.1215
V20-09 A;#103;Ebene C - 2021-01-29 17.02.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,26628.2,2779.4,0.8866,16.4724,15.0275,0.9166,1,5.3588,3.8864,168.7555,46.3331,0.9878,1,15.3522,13.8726,0.0976,0.5071,0.4727,0.1488,1.0005,0.1749,0.045,0.0264,-0.0271,0.6055,0.0604,0.0336,0.016,-0.0109,0.2448,0.0442,0.0899,0.0356,-0.0271,1.0005,0.158,0.2463,0.2564,0.0484,0.3741,0.0698,0.0653,0.0706,-0.0042,0.215,0.0476,0.0599,0.0692,-0.0028,0.1684,0.0402,0.0828,0.0779,-0.0042,0.3741,0.0734
