Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Area µm^2,Perimeter µm
V20-09 A;#104;Ebene D - 2021-01-29 16.11.21.ndpi,PathAnnotationObject,,Image,Polygon,31423.8,4509.7,9,1570.8,201.53
V20-09 A;#104;Ebene D - 2021-01-29 16.11.21.ndpi,PathAnnotationObject,,Image,Polygon,32077.2,4697.9,5,2614,295.15
V20-09 A;#104;Ebene D - 2021-01-29 16.11.21.ndpi,PathAnnotationObject,,Image,Polygon,32421.4,4896.5,104,10703.9,524.65
V20-09 A;#104;Ebene D - 2021-01-29 16.11.21.ndpi,PathAnnotationObject,,Image,Polygon,34100.6,4853.9,80,5446.6,500.64
V20-09 A;#104;Ebene D - 2021-01-29 16.11.21.ndpi,PathAnnotationObject,,Image,Polygon,34867.2,4681.7,5,2086.2,250.57
V20-09 A;#104;Ebene D - 2021-01-29 16.11.21.ndpi,PathAnnotationObject,,Image,Polygon,36919.7,4508.2,4,1916.2,190.41
V20-09 A;#104;Ebene D - 2021-01-29 16.11.21.ndpi,PathAnnotationObject,,Image,Polygon,35327.4,4724.8,63,8711.3,448.49
V20-09 A;#104;Ebene D - 2021-01-29 16.11.21.ndpi,PathAnnotationObject,,Image,Polygon,37165.2,4616.1,41,8395.3,842.92
V20-09 A;#104;Ebene D - 2021-01-29 16.11.21.ndpi,PathAnnotationObject,,Image,Geometry,36764.3,4485.8,33,7489.9,487.29
V20-09 A;#104;Ebene D - 2021-01-29 16.11.21.ndpi,PathAnnotationObject,,Image,Polygon,36357.4,4459.8,51,11150.3,674.14
V20-09 A;#104;Ebene D - 2021-01-29 16.11.21.ndpi,PathAnnotationObject,,Image,Geometry,36040.6,4459,134,19394.2,1047.9
V20-09 A;#104;Ebene D - 2021-01-29 16.11.21.ndpi,PathAnnotationObject,,Image,Polygon,35969.1,4639.6,620,64991.4,1124.5
V20-09 A;#104;Ebene D - 2021-01-29 16.11.21.ndpi,PathAnnotationObject,,Image,Geometry,35618.7,4580.7,972,78653,1751.1
V20-09 A;#104;Ebene D - 2021-01-29 16.11.21.ndpi,PathAnnotationObject,,Image,Polygon,35352.3,4638.4,28,2979.4,241.41
V20-09 A;#104;Ebene D - 2021-01-29 16.11.21.ndpi,PathAnnotationObject,,Image,Polygon,35110.1,4680.4,202,25078.6,938.31
V20-09 A;#104;Ebene D - 2021-01-29 16.11.21.ndpi,PathAnnotationObject,,Image,Polygon,34884.3,4750,136,10819.6,451.85
V20-09 A;#104;Ebene D - 2021-01-29 16.11.21.ndpi,PathAnnotationObject,,Image,Polygon,34689.3,4746.4,32,8165.9,435.21
V20-09 A;#104;Ebene D - 2021-01-29 16.11.21.ndpi,PathAnnotationObject,,Image,Polygon,34494.4,4813.1,310,27824.5,945.25
V20-09 A;#104;Ebene D - 2021-01-29 16.11.21.ndpi,PathAnnotationObject,,Image,Geometry,34276.2,4784.3,5,1310.3,207.96
V20-09 A;#104;Ebene D - 2021-01-29 16.11.21.ndpi,PathAnnotationObject,,Image,Polygon,34279.7,4892.8,291,19520.6,658.07
V20-09 A;#104;Ebene D - 2021-01-29 16.11.21.ndpi,PathAnnotationObject,,Image,Polygon,34052.6,4814.8,24,6818.3,459.49
V20-09 A;#104;Ebene D - 2021-01-29 16.11.21.ndpi,PathAnnotationObject,,Image,Geometry,33804.3,4897.5,325,31159.2,1063.8
V20-09 A;#104;Ebene D - 2021-01-29 16.11.21.ndpi,PathAnnotationObject,,Image,Polygon,33620,4940.1,38,2909.8,329.36
V20-09 A;#104;Ebene D - 2021-01-29 16.11.21.ndpi,PathAnnotationObject,,Image,Geometry,33139.6,4944.1,841,79227.3,2740
V20-09 A;#104;Ebene D - 2021-01-29 16.11.21.ndpi,PathAnnotationObject,,Image,Geometry,32542.5,4949,298,22561.2,894.8
V20-09 A;#104;Ebene D - 2021-01-29 16.11.21.ndpi,PathAnnotationObject,,Image,Geometry,32199.2,4790.9,106,13911.9,906.93
V20-09 A;#104;Ebene D - 2021-01-29 16.11.21.ndpi,PathAnnotationObject,,Image,Polygon,31809.6,4664,575,53847,1287.2
V20-09 A;#104;Ebene D - 2021-01-29 16.11.21.ndpi,PathAnnotationObject,,Image,Polygon,31587.9,4585.5,311,26825.8,716.44
V20-09 A;#104;Ebene D - 2021-01-29 16.11.21.ndpi,ColorDeconvolution,ColorDeconvolution,Image,Rectangle,35092.5,4666.5,52,6729.9,335.47
