Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Area µm^2,Perimeter µm
V20-09 A;#110;Ebene E - 2021-01-29 16.30.23.ndpi,PathAnnotationObject,,Image,Geometry,26268,2671.4,5854,510414.2,9654.6
V20-09 A;#110;Ebene E - 2021-01-29 16.30.23.ndpi,PathAnnotationObject,,Image,Geometry,29941.1,2490.1,2950,276236.5,8751.9
V20-09 A;#110;Ebene E - 2021-01-29 16.30.23.ndpi,PathAnnotationObject,,Image,Geometry,24206.9,2122.9,1988,195896.5,4249.8
V20-09 A;#110;Ebene E - 2021-01-29 16.30.23.ndpi,PathAnnotationObject,,Image,Geometry,31629.6,1349.6,1212,136028.1,5895.2
V20-09 A;#110;Ebene E - 2021-01-29 16.30.23.ndpi,PathAnnotationObject,,Image,Polygon,28240.7,2776.4,1707,132360.4,2241
V20-09 A;#110;Ebene E - 2021-01-29 16.30.23.ndpi,PathAnnotationObject,,Image,Polygon,30700.9,2311.4,272,29287.1,1315.8
V20-09 A;#110;Ebene E - 2021-01-29 16.30.23.ndpi,PathAnnotationObject,,Image,Geometry,30999.3,2100.1,253,28989.4,1536.4
V20-09 A;#110;Ebene E - 2021-01-29 16.30.23.ndpi,PathAnnotationObject,,Image,Polygon,23498,1817.9,102,8663.9,416.17
V20-09 A;#110;Ebene E - 2021-01-29 16.30.23.ndpi,PathAnnotationObject,,Image,Polygon,31242.1,1877.6,63,7393.5,375.28
V20-09 A;#110;Ebene E - 2021-01-29 16.30.23.ndpi,PathAnnotationObject,,Image,Geometry,28855.4,2655.4,28,6703.5,830.64
V20-09 A;#110;Ebene E - 2021-01-29 16.30.23.ndpi,ColorDeconvolution,ColorDeconvolution,Image,Rectangle,29289.7,2580.3,44,6422.1,340.33
V20-09 A;#110;Ebene E - 2021-01-29 16.30.23.ndpi,PathAnnotationObject,,Image,Polygon,24875.1,2313.6,22,3410.6,394.68
V20-09 A;#110;Ebene E - 2021-01-29 16.30.23.ndpi,PathAnnotationObject,,Image,Polygon,28636.7,2658.9,2,2372.3,326.24
V20-09 A;#110;Ebene E - 2021-01-29 16.30.23.ndpi,PathAnnotationObject,,Image,Polygon,28997.1,2662.4,8,1771.7,227.16
V20-09 A;#110;Ebene E - 2021-01-29 16.30.23.ndpi,PathAnnotationObject,,Image,Polygon,31118.2,1928,2,1662.2,253.85
V20-09 A;#110;Ebene E - 2021-01-29 16.30.23.ndpi,PathAnnotationObject,,Image,Polygon,28516.2,2642.9,6,1393,181.16
V20-09 A;#110;Ebene E - 2021-01-29 16.30.23.ndpi,PathAnnotationObject,,Image,Polygon,23672.7,1824.4,12,1206.4,229.06
V20-09 A;#110;Ebene E - 2021-01-29 16.30.23.ndpi,PathAnnotationObject,,Image,Polygon,25531.4,2445.4,3,749.05,220.38
V20-09 A;#110;Ebene E - 2021-01-29 16.30.23.ndpi,PathAnnotationObject,,Image,Polygon,31258.6,1801.4,3,555.99,119.02
