Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Area µm^2,Perimeter µm
V20-09 A;#111;Ebene C - 2021-01-29 16.34.02.ndpi,PathAnnotationObject,,Image,Geometry,5905.4,2115.5,3680,378374.3,6765.4
V20-09 A;#111;Ebene C - 2021-01-29 16.34.02.ndpi,PathAnnotationObject,,Image,Geometry,7791.4,2920.2,3293,362834.3,4904.7
V20-09 A;#111;Ebene C - 2021-01-29 16.34.02.ndpi,PathAnnotationObject,,Image,Geometry,2820.8,1823,1986,191807.3,7808.1
V20-09 A;#111;Ebene C - 2021-01-29 16.34.02.ndpi,PathAnnotationObject,,Image,Geometry,3981.5,1816.6,1156,98345.8,3545.7
V20-09 A;#111;Ebene C - 2021-01-29 16.34.02.ndpi,PathAnnotationObject,,Image,Geometry,1942.7,2117.9,803,86558.9,2520.7
V20-09 A;#111;Ebene C - 2021-01-29 16.34.02.ndpi,PathAnnotationObject,,Image,Polygon,1233.6,2358.2,128,16280.3,1564.9
V20-09 A;#111;Ebene C - 2021-01-29 16.34.02.ndpi,PathAnnotationObject,,Image,Geometry,1550,2307.2,96,14703.5,937.36
V20-09 A;#111;Ebene C - 2021-01-29 16.34.02.ndpi,PathAnnotationObject,,Image,Polygon,2167.7,2176.6,25,6783.6,577.61
V20-09 A;#111;Ebene C - 2021-01-29 16.34.02.ndpi,PathAnnotationObject,,Image,Polygon,4430.8,1876.1,20,4455.4,519.41
V20-09 A;#111;Ebene C - 2021-01-29 16.34.02.ndpi,PathAnnotationObject,,Image,Polygon,1391.8,2393.2,44,3805.8,417.33
V20-09 A;#111;Ebene C - 2021-01-29 16.34.02.ndpi,ColorDeconvolution,ColorDeconvolution,Image,Rectangle,3161,1819.3,45,3593.7,242.78
V20-09 A;#111;Ebene C - 2021-01-29 16.34.02.ndpi,PathAnnotationObject,,Image,Polygon,1685.7,2280.8,19,2080.8,206.64
V20-09 A;#111;Ebene C - 2021-01-29 16.34.02.ndpi,PathAnnotationObject,,Image,Polygon,2802,1919.4,7,2035,293.76
V20-09 A;#111;Ebene C - 2021-01-29 16.34.02.ndpi,PathAnnotationObject,,Image,Polygon,1548.6,2390.8,6,2021.3,298.48
V20-09 A;#111;Ebene C - 2021-01-29 16.34.02.ndpi,PathAnnotationObject,,Image,Polygon,1741.5,2345.4,6,2005.2,313.29
V20-09 A;#111;Ebene C - 2021-01-29 16.34.02.ndpi,PathAnnotationObject,,Image,Geometry,2475.7,1985.5,4,1742.7,462.97
V20-09 A;#111;Ebene C - 2021-01-29 16.34.02.ndpi,PathAnnotationObject,,Image,Polygon,1952.7,2307.9,3,1607.4,315.91
V20-09 A;#111;Ebene C - 2021-01-29 16.34.02.ndpi,PathAnnotationObject,,Image,Polygon,2228.1,2023.6,10,1506.3,175.64
V20-09 A;#111;Ebene C - 2021-01-29 16.34.02.ndpi,PathAnnotationObject,,Image,Polygon,2856,1779.6,28,1250.8,156.48
V20-09 A;#111;Ebene C - 2021-01-29 16.34.02.ndpi,PathAnnotationObject,,Image,Polygon,1688.5,2326.6,6,359.98,86.91
V20-09 A;#111;Ebene C - 2021-01-29 16.34.02.ndpi,PathAnnotationObject,,Image,Polygon,7517.5,2940.6,1,193.58,49.88
