Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Detection probability,Nucleus: Area µm^2,Nucleus: Length µm,Nucleus: Circularity,Nucleus: Solidity,Nucleus: Max diameter µm,Nucleus: Min diameter µm,Cell: Area µm^2,Cell: Length µm,Cell: Circularity,Cell: Solidity,Cell: Max diameter µm,Cell: Min diameter µm,Nucleus/Cell area ratio,Hematoxylin: Nucleus: Mean,Hematoxylin: Nucleus: Median,Hematoxylin: Nucleus: Min,Hematoxylin: Nucleus: Max,Hematoxylin: Nucleus: Std.Dev.,Hematoxylin: Cytoplasm: Mean,Hematoxylin: Cytoplasm: Median,Hematoxylin: Cytoplasm: Min,Hematoxylin: Cytoplasm: Max,Hematoxylin: Cytoplasm: Std.Dev.,Hematoxylin: Membrane: Mean,Hematoxylin: Membrane: Median,Hematoxylin: Membrane: Min,Hematoxylin: Membrane: Max,Hematoxylin: Membrane: Std.Dev.,Hematoxylin: Cell: Mean,Hematoxylin: Cell: Median,Hematoxylin: Cell: Min,Hematoxylin: Cell: Max,Hematoxylin: Cell: Std.Dev.,Eosin: Nucleus: Mean,Eosin: Nucleus: Median,Eosin: Nucleus: Min,Eosin: Nucleus: Max,Eosin: Nucleus: Std.Dev.,Eosin: Cytoplasm: Mean,Eosin: Cytoplasm: Median,Eosin: Cytoplasm: Min,Eosin: Cytoplasm: Max,Eosin: Cytoplasm: Std.Dev.,Eosin: Membrane: Mean,Eosin: Membrane: Median,Eosin: Membrane: Min,Eosin: Membrane: Max,Eosin: Membrane: Std.Dev.,Eosin: Cell: Mean,Eosin: Cell: Median,Eosin: Cell: Min,Eosin: Cell: Max,Eosin: Cell: Std.Dev.
V20-09 A;#112;Ebene D - 2021-01-29 17.24.21.ndpi,PathCellObject,,PathAnnotationObject,Polygon,7894.5,5079.8,0.8981,24.9601,17.8744,0.9817,1,5.9655,5.4112,191.4125,49.1877,0.9942,1,15.9644,15.3646,0.1304,0.3547,0.3501,-0.0052,0.6932,0.1201,0.0499,0.0145,-0.0641,0.8395,0.0817,0.0838,0.0522,-0.0335,0.656,0.1211,0.0898,0.0318,-0.0641,0.8395,0.135,0.2537,0.2585,0.0276,0.4819,0.0727,0.081,0.0607,-0.0379,0.4408,0.0778,0.1146,0.1053,-0.0105,0.4269,0.0954,0.1036,0.0784,-0.0379,0.4819,0.0967
V20-09 A;#112;Ebene D - 2021-01-29 17.24.21.ndpi,PathCellObject,,PathAnnotationObject,Polygon,7872.9,5091.7,0.8943,12.9663,13.0156,0.9618,1,4.4768,3.7202,155.3574,44.3355,0.9932,1,14.4615,13.6858,0.0835,0.5116,0.5381,0.0205,0.8349,0.1575,0.1188,0.0605,-0.0523,0.6425,0.1503,0.1514,0.1073,-0.0347,0.5945,0.1736,0.1518,0.0765,-0.0523,0.8349,0.1862,0.3463,0.3759,0.0009,0.6135,0.1138,0.1322,0.1138,-0.0541,0.4873,0.117,0.1738,0.1777,-0.0033,0.4063,0.1183,0.1502,0.1342,-0.0541,0.6135,0.131
V20-09 A;#112;Ebene D - 2021-01-29 17.24.21.ndpi,PathCellObject,,PathAnnotationObject,Polygon,7276.5,5635.3,0.8926,29.1532,19.3408,0.9794,1,6.5575,5.7526,202.8504,50.6506,0.9936,1,16.5501,15.7193,0.1437,0.3897,0.3936,-0.0358,0.6775,0.1173,0.0833,0.0404,-0.1001,0.6682,0.1117,0.0862,0.0349,-0.0745,0.6682,0.1252,0.1275,0.0739,-0.1001,0.6775,0.1557,0.2584,0.2587,0.0461,0.4639,0.0627,0.1068,0.0941,-0.0306,0.5362,0.0936,0.1127,0.1099,-0.0061,0.4774,0.0941,0.1287,0.1217,-0.0306,0.5362,0.1044
V20-09 A;#112;Ebene D - 2021-01-29 17.24.21.ndpi,PathCellObject,,PathAnnotationObject,Polygon,7745.4,5265.9,0.8914,21.6135,16.7673,0.9661,1,5.8476,4.7909,182.6036,48.0834,0.9925,1,15.8345,14.7148,0.1184,0.427,0.4294,0.1076,0.6907,0.0918,0.0946,0.0414,-0.0335,0.6325,0.1181,0.1169,0.0467,-0.0335,0.4824,0.1371,0.1336,0.0695,-0.0335,0.6907,0.1572,0.2967,0.2986,0.1276,0.5065,0.057,0.1031,0.0802,-0.0439,0.4896,0.0977,0.1177,0.1103,-0.0114,0.3629,0.0929,0.1258,0.1036,-0.0439,0.5065,0.1126
V20-09 A;#112;Ebene D - 2021-01-29 17.24.21.ndpi,PathCellObject,,PathAnnotationObject,Polygon,7726.7,5339.1,0.889,12.0873,12.5203,0.969,1,4.2154,3.6795,152.0462,43.8458,0.9939,1,14.2148,13.645,0.0795,0.4796,0.4911,0.1087,0.879,0.1424,0.0971,0.0416,-0.0744,0.8399,0.1534,0.12,0.0581,-0.0465,0.642,0.1788,0.1279,0.0527,-0.0744,0.879,0.1846,0.3125,0.3355,-0.0409,0.5071,0.1201,0.1209,0.1041,-0.1143,0.587,0.11,0.1399,0.1165,-0.0961,0.569,0.1303,0.1363,0.1121,-0.1143,0.587,0.1225
V20-09 A;#112;Ebene D - 2021-01-29 17.24.21.ndpi,PathCellObject,,PathAnnotationObject,Polygon,7332.2,5602.1,0.887,18.5862,15.5598,0.9647,1,5.4001,4.47,173.5712,46.8709,0.9928,1,15.3951,14.4566,0.1071,0.4786,0.4754,0.0424,0.9257,0.1564,0.1147,0.0716,-0.1548,0.8373,0.1426,0.1361,0.093,-0.0908,0.8373,0.1554,0.1535,0.0975,-0.1548,0.9257,0.1827,0.2907,0.3046,-0.0396,0.53,0.1279,0.1239,0.1172,-0.0849,0.5079,0.0967,0.1416,0.1433,-0.0092,0.5079,0.0916,0.1416,0.129,-0.0849,0.53,0.1129
V20-09 A;#112;Ebene D - 2021-01-29 17.24.21.ndpi,PathCellObject,,PathAnnotationObject,Polygon,7867.3,5275.2,0.8863,16.0762,14.4239,0.971,1,4.9434,4.2048,165.5757,45.758,0.9937,1,14.94,14.1511,0.0971,0.4449,0.4423,0.1605,0.9194,0.124,0.0863,0.0533,-0.0453,0.4925,0.1012,0.0864,0.0584,-0.0164,0.3954,0.0902,0.1215,0.0657,-0.0453,0.9194,0.1488,0.3424,0.339,0.1102,0.6495,0.0745,0.1259,0.1148,-0.0425,0.4689,0.0902,0.1249,0.1108,-0.0064,0.4262,0.0951,0.1472,0.1264,-0.0425,0.6495,0.1097
V20-09 A;#112;Ebene D - 2021-01-29 17.24.21.ndpi,PathCellObject,,PathAnnotationObject,Polygon,7391.8,5492.9,0.8856,49.3692,28.0741,0.7871,0.9913,11.6862,5.4925,266.5876,59.3556,0.9509,0.9989,21.6631,15.4327,0.1852,0.264,0.2469,0.0251,0.5984,0.1052,0.1049,0.077,-0.1089,0.8163,0.1174,0.1335,0.0972,-0.0776,0.6902,0.1413,0.1343,0.1123,-0.1089,0.8163,0.1307,0.1756,0.1805,-0.0869,0.3661,0.0704,0.1242,0.1238,-0.1962,0.5109,0.0882,0.1249,0.1285,-0.1962,0.3079,0.0753,0.1337,0.137,-0.1962,0.5109,0.0875
V20-09 A;#112;Ebene D - 2021-01-29 17.24.21.ndpi,PathCellObject,,PathAnnotationObject,Polygon,7332.1,5611.3,0.8854,18.3877,15.4304,0.9705,1,5.2854,4.5565,172.7128,46.7398,0.9935,1,15.268,14.4892,0.1065,0.4199,0.4083,-0.044,0.8909,0.1881,0.0941,0.045,-0.1777,0.7612,0.1443,0.1611,0.0787,-0.0904,0.7156,0.2003,0.1288,0.0633,-0.1777,0.8909,0.1802,0.2847,0.2927,-0.1192,0.5906,0.141,0.1057,0.086,-0.0888,0.5177,0.0982,0.1451,0.1313,-0.0294,0.5177,0.1214,0.1247,0.0985,-0.1192,0.5906,0.1174
V20-09 A;#112;Ebene D - 2021-01-29 17.24.21.ndpi,PathCellObject,,PathAnnotationObject,Polygon,7644.2,5330.8,0.8824,19.6476,16.0512,0.9583,1,5.5668,4.5442,177.1897,47.3725,0.9922,1,15.5528,14.5409,0.1109,0.403,0.4008,0.0219,0.6536,0.1011,0.0613,0.024,-0.0974,1.1375,0.1078,0.0773,0.0474,-0.0398,0.5853,0.1022,0.0989,0.0368,-0.0974,1.1375,0.1514,0.3061,0.3079,-0.0277,0.4684,0.0752,0.1053,0.0898,-0.0636,0.5567,0.0945,0.1075,0.0847,-0.0395,0.4293,0.0931,0.1274,0.1058,-0.0636,0.5567,0.1119
