Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Detection probability,Nucleus: Area µm^2,Nucleus: Length µm,Nucleus: Circularity,Nucleus: Solidity,Nucleus: Max diameter µm,Nucleus: Min diameter µm,Cell: Area µm^2,Cell: Length µm,Cell: Circularity,Cell: Solidity,Cell: Max diameter µm,Cell: Min diameter µm,Nucleus/Cell area ratio,Hematoxylin: Nucleus: Mean,Hematoxylin: Nucleus: Median,Hematoxylin: Nucleus: Min,Hematoxylin: Nucleus: Max,Hematoxylin: Nucleus: Std.Dev.,Hematoxylin: Cytoplasm: Mean,Hematoxylin: Cytoplasm: Median,Hematoxylin: Cytoplasm: Min,Hematoxylin: Cytoplasm: Max,Hematoxylin: Cytoplasm: Std.Dev.,Hematoxylin: Membrane: Mean,Hematoxylin: Membrane: Median,Hematoxylin: Membrane: Min,Hematoxylin: Membrane: Max,Hematoxylin: Membrane: Std.Dev.,Hematoxylin: Cell: Mean,Hematoxylin: Cell: Median,Hematoxylin: Cell: Min,Hematoxylin: Cell: Max,Hematoxylin: Cell: Std.Dev.,Eosin: Nucleus: Mean,Eosin: Nucleus: Median,Eosin: Nucleus: Min,Eosin: Nucleus: Max,Eosin: Nucleus: Std.Dev.,Eosin: Cytoplasm: Mean,Eosin: Cytoplasm: Median,Eosin: Cytoplasm: Min,Eosin: Cytoplasm: Max,Eosin: Cytoplasm: Std.Dev.,Eosin: Membrane: Mean,Eosin: Membrane: Median,Eosin: Membrane: Min,Eosin: Membrane: Max,Eosin: Membrane: Std.Dev.,Eosin: Cell: Mean,Eosin: Cell: Median,Eosin: Cell: Min,Eosin: Cell: Max,Eosin: Cell: Std.Dev.
V20-09 A;#112;Ebene E - 2021-01-29 18.11.28.ndpi,PathCellObject,,PathAnnotationObject,Polygon,6562,7569.5,0.9089,13.8452,13.4198,0.9661,1,4.5039,4.1028,158.2767,44.7445,0.9935,1,14.5,14.0623,0.0875,0.4166,0.4065,0.07,0.8206,0.1426,0.0963,0.0323,-0.0667,0.9565,0.1538,0.1024,0.0333,-0.0325,0.8995,0.1643,0.1241,0.0444,-0.0667,0.9565,0.1774,0.19,0.2284,-0.1069,0.416,0.1238,0.106,0.1059,-0.1501,0.5375,0.0712,0.0934,0.098,-0.1501,0.2165,0.0596,0.1133,0.1112,-0.1501,0.5375,0.0807
V20-09 A;#112;Ebene E - 2021-01-29 18.11.28.ndpi,PathCellObject,,PathAnnotationObject,Polygon,6848.3,7138.2,0.9051,16.2651,14.599,0.959,1,5.0645,4.1706,166.6576,45.9277,0.9929,1,15.0583,14.1307,0.0976,0.5666,0.563,0.1324,0.9482,0.1539,0.0808,0.0245,-0.0456,0.6963,0.1139,0.1311,0.0763,-0.0107,0.6963,0.1674,0.1286,0.0413,-0.0456,0.9482,0.187,0.291,0.3265,-0.0743,0.482,0.1188,0.127,0.1246,-0.1336,0.3885,0.0871,0.1394,0.1547,0,0.3047,0.0848,0.1431,0.1365,-0.1336,0.482,0.103
V20-09 A;#112;Ebene E - 2021-01-29 18.11.28.ndpi,PathCellObject,,PathAnnotationObject,Polygon,6664.2,7314.7,0.8981,25.2087,18.2698,0.9491,1,6.6826,4.9252,193.612,49.5772,0.9899,1,16.6782,14.8956,0.1302,0.3742,0.3549,0.059,0.9012,0.1417,0.0803,0.0468,-0.0975,0.5134,0.1012,0.1093,0.0678,-0.0418,0.5078,0.1244,0.1188,0.0735,-0.0975,0.9012,0.1462,0.1847,0.1892,-0.0926,0.4542,0.0948,0.1045,0.1033,-0.1081,0.4468,0.0852,0.1296,0.1196,-0.0189,0.3137,0.0854,0.115,0.1158,-0.1081,0.4542,0.0906
V20-09 A;#112;Ebene E - 2021-01-29 18.11.28.ndpi,PathCellObject,,PathAnnotationObject,Polygon,6355.2,7696.7,0.8975,25.4852,18.4913,0.9366,1,6.7304,4.8735,195.0345,49.7972,0.9884,1,16.6773,14.838,0.1307,0.6652,0.6896,0.1044,1.0728,0.1607,0.0954,0.012,-0.0303,0.9974,0.1759,0.1064,0.0077,-0.0228,0.8694,0.182,0.17,0.0244,-0.0303,1.0728,0.2593,0.3181,0.3747,-0.0987,0.5068,0.14,0.1149,0.1066,-0.0621,0.4652,0.0993,0.1087,0.0913,0,0.3494,0.0978,0.1415,0.1245,-0.0987,0.5068,0.1258
V20-09 A;#112;Ebene E - 2021-01-29 18.11.28.ndpi,PathCellObject,,PathAnnotationObject,Polygon,7074.3,7000.9,0.896,19.2309,15.7695,0.9718,1,5.3733,4.5564,175.1439,47.0753,0.9932,1,15.3681,14.4928,0.1098,0.5002,0.4856,0.0266,0.8369,0.1615,0.0939,0.0196,-0.0226,0.7761,0.1472,0.1211,0.0514,-0.0011,0.7485,0.1709,0.1384,0.0352,-0.0226,0.8369,0.1955,0.259,0.2814,0.0256,0.4005,0.0816,0.0787,0.0504,-0.0184,0.3749,0.0859,0.105,0.0785,-0.009,0.3629,0.0993,0.0985,0.063,-0.0184,0.4005,0.1023
V20-09 A;#112;Ebene E - 2021-01-29 18.11.28.ndpi,PathCellObject,,PathAnnotationObject,Polygon,6880.7,7202.2,0.8954,14.6371,13.8812,0.9546,1,4.8974,3.7751,161.3393,45.204,0.9922,1,14.8818,13.7436,0.0907,0.6499,0.6866,0.1609,1.0274,0.1775,0.0913,0.0246,-0.044,0.6297,0.1336,0.0874,0.0398,-0.0353,0.484,0.1189,0.1422,0.0425,-0.044,1.0274,0.2119,0.2444,0.2968,-0.197,0.4696,0.1382,0.0852,0.0735,-0.1079,0.3498,0.0827,0.1047,0.0976,0,0.3498,0.0881,0.0997,0.0839,-0.197,0.4696,0.1003
V20-09 A;#112;Ebene E - 2021-01-29 18.11.28.ndpi,PathCellObject,,PathAnnotationObject,Polygon,6787.8,7212.8,0.8936,21.085,17.0741,0.9089,1,6.3804,4.2079,183.7124,48.3944,0.9857,1,16.3736,14.207,0.1148,0.5697,0.5557,0.0069,1.1621,0.2083,0.1312,0.1158,-0.072,0.7172,0.1198,0.1552,0.1335,-0.0129,0.5991,0.1333,0.1814,0.1365,-0.072,1.1621,0.1928,0.2987,0.3416,-0.2655,0.6335,0.1675,0.1397,0.1497,-0.147,0.4438,0.0822,0.1367,0.1452,-0.0224,0.3356,0.0865,0.1579,0.1572,-0.2655,0.6335,0.1084
V20-09 A;#112;Ebene E - 2021-01-29 18.11.28.ndpi,PathCellObject,,PathAnnotationObject,Polygon,6520.5,7679.7,0.893,18.3643,15.4886,0.962,1,5.4121,4.3078,173.0058,46.8002,0.9926,1,15.3998,14.2737,0.1061,0.3853,0.3967,0.03,0.8597,0.2218,0.0807,0.0203,-0.0495,0.9174,0.1428,0.113,0.0268,-0.0437,0.8262,0.199,0.1128,0.0352,-0.0495,0.9174,0.1794,0.1812,0.1817,-0.1577,0.4904,0.1052,0.0889,0.0853,-0.1571,0.4034,0.0846,0.1213,0.1137,0,0.4034,0.075,0.0986,0.0962,-0.1577,0.4904,0.0915
V20-09 A;#112;Ebene E - 2021-01-29 18.11.28.ndpi,PathCellObject,,PathAnnotationObject,Polygon,6319.3,7838.8,0.8927,19.6188,15.8715,0.9787,1,5.3147,4.728,176.1932,47.1933,0.9941,1,15.2991,14.7153,0.1113,0.464,0.4659,0.1474,0.666,0.0929,0.0491,0.0058,-0.0232,0.4157,0.0826,0.0439,0.0014,-0.0116,0.4157,0.0995,0.0952,0.0093,-0.0232,0.666,0.155,0.2549,0.2648,0.0909,0.3458,0.0492,0.0648,0.0305,-0.0126,0.2795,0.0727,0.0468,0.0098,-0.009,0.2341,0.0653,0.0859,0.0534,-0.0126,0.3458,0.0924
V20-09 A;#112;Ebene E - 2021-01-29 18.11.28.ndpi,PathCellObject,,PathAnnotationObject,Polygon,6424.1,7611.3,0.8921,12.6792,12.9322,0.9527,1,4.426,3.8037,154.5743,44.2514,0.992,1,14.4225,13.7515,0.082,0.587,0.5861,0.1318,0.9427,0.1836,0.1593,0.0733,-0.0392,1.2346,0.1977,0.1652,0.0328,-0.0237,1.2346,0.2473,0.1947,0.0959,-0.0392,1.2346,0.2291,0.19,0.2191,-0.1106,0.4043,0.1384,0.149,0.1508,-0.0997,0.4375,0.1134,0.1442,0.1394,0,0.3687,0.1,0.1524,0.1566,-0.1106,0.4375,0.1162
