,Keratinocytes,Apoptosis/Necrosis,SiHa,Specimen,Ebene,Dose,Treatment Duration
0,1673.9218508751267,2001.0310335243053,4541.152619459268,278, C,Control,1 week
1,4369.9959414087,2767.22134081098,2854.296572335166,278, D,Control,1 week
2,852.6154183572761,1500.9869503235004,6722.22831450817,278, E,Control,1 week
3,1513.4849376273673,2383.205859531545,6083.783115476769,279, D,Control,1 week
4,1269.84443851111,1533.2401189883053,6521.122531393298,279, E,Control,1 week
5,2229.8256570174794,1532.4239711279424,3477.7097403024904,282, B,1µM,1 week
6,1782.3202548588813,1590.2042128949258,2667.0227002055,282, D,1µM,1 week
7,1729.8444951085899,1995.0968249438724,2417.218812208623,282, E,1µM,1 week
8,1091.9016308378873,2451.7298024115817,3096.6384105143534,283, C,1µM,1 week
9,1615.1402554896863,2162.9656053049016,2724.9588520980965,283, D,1µM,1 week
10,1339.931599696344,2205.8940684656163,3526.4495716146275,283, E,1µM,1 week
11,2427.8049606950544,1200.5756273413253,1680.3423355645962,284, B,5µM,1 week
12,2332.315372293077,1291.4981329188745,683.2283177001848,284, D,5µM,1 week
13,2145.5353628618186,1251.0018103206842,1146.0790778421751,284, E,5µM,1 week
14,2006.2578319863082,1424.4783200746372,643.4833995386665,285, B,5µM,1 week
15,1898.6275834149565,1764.3811886280403,646.8235385187776,285, D,5µM,1 week
16,1244.3251383637623,1555.9057508593432,1336.2014728175875,285, E,5µM,1 week
17,1517.808471237974,888.9068645610389,2335.6027866341296,286, B,10µM,1 week
18,2317.1508094769574,1445.8515950142323,1332.2038713886595,286, C,10µM,1 week
19,2190.985086370255,1566.148598775775,493.37738241226486,286, E,10µM,1 week
20,169.80982120667113,2690.4440817205664,8396.432832230234,288, B,Control,2 weeks
21,291.97196538274204,2826.187509072776,8044.396422850485,288, C,Control,2 weeks
22,442.0353249372528,2632.781825450451,9498.416202003344,288, D,Control,2 weeks
23,555.0111398664502,2920.772909799118,6887.281094713401,289, C,Control,2 weeks
24,894.0185370486427,3448.357214330479,5789.834335172162,289, D,Control,2 weeks
25,416.7879082109534,3733.7250110564573,7971.068744534483,289, E,Control,2 weeks
26,728.7562655513983,3564.659218925697,2567.9982690858797,294, B,1µM,2 weeks
27,1648.4980405207807,2500.855091886825,1719.907633059469,294, D,1µM,2 weeks
28,929.0015765245229,2358.779240966074,2859.555328883103,294, E,1µM,2 weeks
29,508.01774662450697,3358.1325190369025,2541.0545463290455,295, C,1µM,2 weeks
30,724.5602295457653,1828.3493511637294,3964.9545894587714,295, D,1µM,2 weeks
31,940.1975155095573,2396.146424041418,2623.1757453718096,295, E,1µM,2 weeks
32,1213.493041805878,5062.476126296687,446.1984724165943,296, C,5µM,2 weeks
33,983.2975345549553,4398.810441347315,211.11976477209336,296, D,5µM,2 weeks
34,863.6917944468513,3367.71071044263,274.91516003613305,296, E,5µM,2 weeks
35,695.6584205953944,3088.044696301507,405.9095099534103,297, B,5µM,2 weeks
36,1122.9179919386854,3091.7345593025484,759.3300077647059,297, C,5µM,2 weeks
37,680.253845338937,2853.4381299150614,382.7561636440419,297, E,5µM,2 weeks
38,393.1569582935994,4828.243347465256,520.7605324766098,298, C,10µM,2 weeks
39,690.8694004817836,4536.274554106805,395.40324178517176,298, D,10µM,2 weeks
40,737.8334812723309,5706.363529473165,399.3777559180507,298, E,10µM,2 weeks
41,586.523986933953,4314.350297419832,1079.7732697463339,299, C,10µM,2 weeks
42,803.6763168518994,4579.699261810745,1017.1528385156852,299, D,10µM,2 weeks
43,644.5425611799936,4850.45588413419,385.08686917957243,299, E,10µM,2 weeks
44,1660.9442335581737,3404.212561746826,307.0466232163804,287, C,10µM,1 week
45,2434.9844467291555,1302.108282541553,1798.6157372163664,287, D,10µM,1 week
46,2125.7572078011663,1467.3492837436243,1700.8871371486498,287, E,10µM,1 week
47,305.7487177979876,4125.07386111981,5609.897744790701,332, C,Control,2 weeks + 2 weeks Regen.
48,241.69853492444395,4159.8663458093115,7824.0977212672315,332, D,Control,2 weeks + 2 weeks Regen.
49,260.6430224674286,5202.672448470365,5073.624437346427,332, E,Control,2 weeks + 2 weeks Regen.
50,208.14757084662168,2651.979847829881,9520.15816559947,333, C,Control,2 weeks + 2 weeks Regen.
51,152.4054189136766,3852.0050934225956,7841.342542349823,333, D,Control,2 weeks + 2 weeks Regen.
52,146.97944575127104,4893.628153629373,7257.766292208969,333, E,Control,2 weeks + 2 weeks Regen.
53,383.8904259387838,4952.8467484141365,2177.894332905778,336, C,1µM,2 weeks + 2 weeks Regen.
54,804.9709629131538,4262.196768579338,806.6306968573047,336, D,1µM,2 weeks + 2 weeks Regen.
55,294.9174803253788,4685.366747229107,2643.4796077005713,336, E,1µM,2 weeks + 2 weeks Regen.
56,413.4262351848064,4893.645957447934,2387.249406640045,337, C,1µM,2 weeks + 2 weeks Regen.
57,397.64042735827707,5086.75103142796,2207.8664051304336,337, D,1µM,2 weeks + 2 weeks Regen.
58,504.2186537341732,4969.192745598478,2391.9504063558775,337, E,1µM,2 weeks + 2 weeks Regen.
59,303.71006418413754,3059.1254174883165,5.795993591300334,338, B,5µM,2 weeks + 2 weeks Regen.
60,860.6752145224801,3201.929690482999,42.48902957769206,338, D,5µM,2 weeks + 2 weeks Regen.
61,737.4417518936385,4575.920614314372,64.83004412251766,338, E,5µM,2 weeks + 2 weeks Regen.
62,908.4597478216123,3126.9084137727314,88.67102510966012,339, B,5µM,2 weeks + 2 weeks Regen.
63,678.9965889940047,2882.5626219675387,87.25423456698658,339, D,5µM,2 weeks + 2 weeks Regen.
64,633.4577175737377,3754.6207434831736,142.9892420736835,339, E,5µM,2 weeks + 2 weeks Regen.
65,287.9803506041604,4817.464399546321,167.5747729808692,340, C,10µM,2 weeks + 2 weeks Regen.
66,359.2093489226216,3906.5879814364775,169.9164555069662,340, D,10µM,2 weeks + 2 weeks Regen.
67,387.35702510907515,4069.316505772206,93.73764308689363,340, E,10µM,2 weeks + 2 weeks Regen.
