,Keratinocytes,Apoptosis/Necrosis,SiHa,Specimen,Ebene,Dose,Treatment Duration
0,1437.888531864998,1363.9290015018685,6363.401151373154,102, C,Control,1 week
1,2212.7570195168123,4214.017222163056,3760.322437585868,102, D,Control,1 week
2,983.3157224354636,1574.6735873196142,6968.248295469602,102, E,Control,1 week
3,1165.6292767421323,2387.124205348849,5083.77431967715,103, C,10-15mg,1 week
4,1050.255507359084,5669.1992784781005,2013.2925642800433,103, D,10-15mg,1 week
5,812.900056908215,3083.548773560489,5696.814020608372,103, E,10-15mg,1 week
6,594.452119749584,6384.737091580667,2798.7448448750683,104, C,10-15mg,1 week
7,4031.7758605962244,4243.974590101288,1877.4192678244683,104, D,10-15mg,1 week
8,1146.7572318840637,2028.2780972099083,6287.6621013507165,104, E,10-15mg,1 week
9,157.7579954967294,4515.822621093879,6967.930594575651,110, C,Control,2 weeks
10,1275.5992540520338,4258.36614414375,5572.177182017606,110, D,Control,2 weeks
11,713.7045866983575,4927.53541732991,5131.238601450066,110, E,Control,2 weeks
12,450.47633673253785,3421.414436991196,5732.332593788622,111, C,10-15mg,2 weeks
13,433.0786768718424,3034.2076625008835,5703.088220278587,111, D,10-15mg,2 weeks
14,450.16312893362664,3446.4009890032594,5643.2997570120415,111, E,10-15mg,2 weeks
15,1101.9478004250143,4194.69478114217,3054.002176979357,112, C,10-15mg,2 weeks
16,711.759137632629,3361.635927041911,5284.873596847151,112, D,10-15mg,2 weeks
17,512.5742431755349,4155.289367694351,4356.881066992047,112, E,10-15mg,2 weeks
