Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Num Apoptosis/Necrosis,Num Keratinocytes,Num SiHa,Area µm^2,Perimeter µm
Simon_Kalteis_V19-18;#278;Ebene B - 2021-01-29 18.16.26.ndpi,Keratinocytes,Keratinocytes,Image,Polygon,9079.1,2585.3,23,0,23,0,12552.8,676.73
Simon_Kalteis_V19-18;#278;Ebene B - 2021-01-29 18.16.26.ndpi,Keratinocytes,Keratinocytes,Image,Polygon,9374.9,2636.8,21,0,21,0,11745.1,596.46
Simon_Kalteis_V19-18;#278;Ebene B - 2021-01-29 18.16.26.ndpi,Keratinocytes,Keratinocytes,Image,Polygon,9710,2758.8,54,0,54,0,20215.1,1083.7
Simon_Kalteis_V19-18;#278;Ebene B - 2021-01-29 18.16.26.ndpi,Keratinocytes,Keratinocytes,Image,Geometry,10233.8,2926.9,53,0,53,0,10951.4,1234.8
Simon_Kalteis_V19-18;#278;Ebene B - 2021-01-29 18.16.26.ndpi,Keratinocytes,Keratinocytes,Image,Polygon,8278.6,2409.1,56,0,56,0,25662.2,1337.9
Simon_Kalteis_V19-18;#278;Ebene B - 2021-01-29 18.16.26.ndpi,Keratinocytes,Keratinocytes,Image,Polygon,10822.8,3326,46,0,46,0,13667.4,1389.2
Simon_Kalteis_V19-18;#278;Ebene B - 2021-01-29 18.16.26.ndpi,Apoptosis/Necrosis,Apoptosis/Necrosis,Image,Polygon,10394,2991.2,17,17,0,0,2375.5,207.72
Simon_Kalteis_V19-18;#278;Ebene B - 2021-01-29 18.16.26.ndpi,SiHa,SiHa,Image,Polygon,9862.7,2736.7,23,0,0,23,1677.1,190.19
Simon_Kalteis_V19-18;#278;Ebene B - 2021-01-29 18.16.26.ndpi,Keratinocytes,Keratinocytes,Image,Polygon,6879.2,2173.8,340,0,340,0,91251.4,4195.2
Simon_Kalteis_V19-18;#278;Ebene B - 2021-01-29 18.16.26.ndpi,Keratinocytes,Keratinocytes,Image,Polygon,5148.2,1943.9,33,0,33,0,13543.5,968.18
Simon_Kalteis_V19-18;#278;Ebene B - 2021-01-29 18.16.26.ndpi,SiHa,SiHa,Image,Polygon,8054.9,2303.3,46,0,0,46,3932,375.38
Simon_Kalteis_V19-18;#278;Ebene B - 2021-01-29 18.16.26.ndpi,Keratinocytes,Keratinocytes,Image,Polygon,8752.6,2487.5,50,0,50,0,15685.1,672.66
Simon_Kalteis_V19-18;#278;Ebene B - 2021-01-29 18.16.26.ndpi,SiHa,SiHa,Image,Geometry,8903.9,2473.9,186,0,0,186,15776.6,796.44
Simon_Kalteis_V19-18;#278;Ebene B - 2021-01-29 18.16.26.ndpi,Apoptosis/Necrosis,Apoptosis/Necrosis,Image,Geometry,9793.2,2751.8,26,26,0,0,3195.7,369.97
Simon_Kalteis_V19-18;#278;Ebene B - 2021-01-29 18.16.26.ndpi,Apoptosis/Necrosis,Apoptosis/Necrosis,Image,Polygon,9676,2696.3,21,21,0,0,2854.5,267.72
Simon_Kalteis_V19-18;#278;Ebene B - 2021-01-29 18.16.26.ndpi,Apoptosis/Necrosis,Apoptosis/Necrosis,Image,Polygon,9990.3,2795.9,11,11,0,0,1539.1,195.56
Simon_Kalteis_V19-18;#278;Ebene B - 2021-01-29 18.16.26.ndpi,SiHa,SiHa,Image,Polygon,5701,2150.5,353,0,0,353,29485.6,1078.3
Simon_Kalteis_V19-18;#278;Ebene B - 2021-01-29 18.16.26.ndpi,Apoptosis/Necrosis,Apoptosis/Necrosis,Image,Polygon,5720.1,2059.7,31,31,0,0,4929.8,587.64
Simon_Kalteis_V19-18;#278;Ebene B - 2021-01-29 18.16.26.ndpi,SiHa,SiHa,Image,Polygon,7884.2,2285.2,182,0,0,182,13672.3,976.82
Simon_Kalteis_V19-18;#278;Ebene B - 2021-01-29 18.16.26.ndpi,Apoptosis/Necrosis,Apoptosis/Necrosis,Image,Geometry,11003.1,3393.7,22,22,0,0,3360.5,303.82
Simon_Kalteis_V19-18;#278;Ebene B - 2021-01-29 18.16.26.ndpi,SiHa,SiHa,Image,Polygon,6581.7,2058.7,22,0,0,22,1434.6,261.45
Simon_Kalteis_V19-18;#278;Ebene B - 2021-01-29 18.16.26.ndpi,SiHa,SiHa,Image,Polygon,6626.7,2082.5,3,0,0,3,278.32,70.08
Simon_Kalteis_V19-18;#278;Ebene B - 2021-01-29 18.16.26.ndpi,SiHa,SiHa,Image,Polygon,6846.8,2106.5,28,0,0,28,2690.1,330.93
Simon_Kalteis_V19-18;#278;Ebene B - 2021-01-29 18.16.26.ndpi,SiHa,SiHa,Image,Polygon,7060.3,2124.3,8,0,0,8,854.07,148.38
Simon_Kalteis_V19-18;#278;Ebene B - 2021-01-29 18.16.26.ndpi,SiHa,SiHa,Image,Polygon,7312.7,2175.8,10,0,0,10,967.99,142.74
Simon_Kalteis_V19-18;#278;Ebene B - 2021-01-29 18.16.26.ndpi,SiHa,SiHa,Image,Polygon,8040,2349.6,24,0,0,24,1580.5,214.39
Simon_Kalteis_V19-18;#278;Ebene B - 2021-01-29 18.16.26.ndpi,SiHa,SiHa,Image,Geometry,8415.2,2393.9,90,0,0,90,7113.5,680.96
Simon_Kalteis_V19-18;#278;Ebene B - 2021-01-29 18.16.26.ndpi,SiHa,SiHa,Image,Polygon,8474,2389,5,0,0,5,463.63,100.28
